Process ID: [2339268] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-7b
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./sft2/sinstruct_sharegpt
    save_dir: ./fact/sinstruct_sharegpt
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2339268] | Loading data from ./sft2/sinstruct_sharegpt/Bio-Medical.json | Total 200
Process ID: [2339268] | Loading exist data from ./fact/sinstruct_sharegpt/Bio-Medical.json | Total 0
   0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 0 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
   0%|▎                                                              | 1/200 [00:09<32:33,  9.81s/it]   1%|▋                                                              | 2/200 [00:17<28:46,  8.72s/it]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 2 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
 20%|████████████▋                                                 | 41/200 [02:35<11:29,  4.34s/it] 21%|█████████████                                                 | 42/200 [02:41<12:49,  4.87s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 42 items to ./fact/sinstruct_sharegpt/Education.json
 22%|█████████████▎                                                | 43/200 [02:47<13:44,  5.25s/it] 22%|█████████████▋                                                | 44/200 [02:49<10:38,  4.09s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 44 items to ./fact/sinstruct_sharegpt/Education.json
 22%|█████████████▉                                                | 45/200 [03:01<16:39,  6.45s/it] 23%|██████████████▎                                               | 46/200 [03:01<12:08,  4.73s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 46 items to ./fact/sinstruct_sharegpt/Education.json
 24%|██████████████▌                                               | 47/200 [03:02<09:00,  3.53s/it] 24%|██████████████▉                                               | 48/200 [03:13<14:43,  5.81s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 48 items to ./fact/sinstruct_sharegpt/Education.json
 24%|███████████████▏                                              | 49/200 [03:14<10:46,  4.28s/it] 25%|███████████████▌                                              | 50/200 [03:18<10:35,  4.24s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 50 items to ./fact/sinstruct_sharegpt/Education.json
 26%|███████████████▊                                              | 51/200 [03:24<11:45,  4.74s/it] 26%|████████████████                                              | 52/200 [03:25<08:41,  3.52s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 52 items to ./fact/sinstruct_sharegpt/Education.json
 26%|████████████████▍                                             | 53/200 [03:31<10:35,  4.32s/it] 27%|████████████████▋                                             | 54/200 [03:37<12:13,  5.02s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 54 items to ./fact/sinstruct_sharegpt/Education.json
 28%|█████████████████                                             | 55/200 [03:44<13:03,  5.40s/it] 28%|█████████████████▎                                            | 56/200 [03:46<10:45,  4.48s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 56 items to ./fact/sinstruct_sharegpt/Education.json
 28%|█████████████████▋                                            | 57/200 [03:56<14:47,  6.21s/it] 29%|█████████████████▉                                            | 58/200 [03:57<10:52,  4.60s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 58 items to ./fact/sinstruct_sharegpt/Education.json
 30%|██████████████████▎                                           | 59/200 [04:04<12:29,  5.31s/it] 30%|██████████████████▌                                           | 60/200 [04:05<09:12,  3.94s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 60 items to ./fact/sinstruct_sharegpt/Education.json
 30%|██████████████████▉                                           | 61/200 [04:06<06:54,  2.99s/it] 31%|███████████████████▏                                          | 62/200 [04:06<05:21,  2.33s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 62 items to ./fact/sinstruct_sharegpt/Education.json
 32%|███████████████████▌                                          | 63/200 [04:14<08:48,  3.86s/it] 32%|███████████████████▊                                          | 64/200 [04:21<10:50,  4.78s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 64 items to ./fact/sinstruct_sharegpt/Education.json
 32%|████████████████████▏                                         | 65/200 [04:22<08:18,  3.69s/it] 33%|████████████████████▍                                         | 66/200 [04:28<09:57,  4.46s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 66 items to ./fact/sinstruct_sharegpt/Education.json
 34%|████████████████████▊                                         | 67/200 [04:30<08:00,  3.62s/it] 34%|█████████████████████                                         | 68/200 [04:35<09:01,  4.10s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 68 items to ./fact/sinstruct_sharegpt/Education.json
 34%|█████████████████████▍                                        | 69/200 [04:42<10:47,  4.94s/it] 35%|█████████████████████▋                                        | 70/200 [04:50<12:29,  5.76s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 70 items to ./fact/sinstruct_sharegpt/Education.json
 36%|██████████████████████                                        | 71/200 [04:50<09:09,  4.26s/it] 36%|██████████████████████▎                                       | 72/200 [04:52<07:26,  3.49s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 72 items to ./fact/sinstruct_sharegpt/Education.json
 36%|██████████████████████▋                                       | 73/200 [04:53<05:42,  2.70s/it] 37%|██████████████████████▉                                       | 74/200 [04:59<07:57,  3.79s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 74 items to ./fact/sinstruct_sharegpt/Education.json
 38%|███████████████████████▎                                      | 75/200 [05:08<10:50,  5.20s/it] 38%|███████████████████████▌                                      | 76/200 [05:11<09:23,  4.55s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 76 items to ./fact/sinstruct_sharegpt/Education.json
 38%|███████████████████████▊                                      | 77/200 [05:12<07:07,  3.48s/it] 39%|████████████████████████▏                                     | 78/200 [05:15<06:46,  3.33s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 78 items to ./fact/sinstruct_sharegpt/Education.json
 40%|████████████████████████▍                                     | 79/200 [05:16<05:39,  2.80s/it] 40%|████████████████████████▊                                     | 80/200 [05:18<04:45,  2.38s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 80 items to ./fact/sinstruct_sharegpt/Education.json
 40%|█████████████████████████                                     | 81/200 [05:19<03:49,  1.92s/it] 41%|█████████████████████████▍                                    | 82/200 [05:23<05:06,  2.60s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 82 items to ./fact/sinstruct_sharegpt/Education.json
 42%|█████████████████████████▋                                    | 83/200 [05:24<04:02,  2.08s/it] 42%|██████████████████████████                                    | 84/200 [05:24<03:15,  1.69s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 84 items to ./fact/sinstruct_sharegpt/Education.json
 42%|██████████████████████████▎                                   | 85/200 [05:25<02:44,  1.43s/it] 43%|██████████████████████████▋                                   | 86/200 [05:31<05:02,  2.66s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 86 items to ./fact/sinstruct_sharegpt/Education.json
 44%|██████████████████████████▉                                   | 87/200 [05:32<04:06,  2.19s/it] 44%|███████████████████████████▎                                  | 88/200 [05:36<04:54,  2.63s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 88 items to ./fact/sinstruct_sharegpt/Education.json
 44%|███████████████████████████▌                                  | 89/200 [05:37<03:56,  2.13s/it] 45%|███████████████████████████▉                                  | 90/200 [05:43<06:12,  3.39s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 90 items to ./fact/sinstruct_sharegpt/Education.json
 46%|████████████████████████████▏                                 | 91/200 [05:44<04:51,  2.68s/it] 46%|████████████████████████████▌                                 | 92/200 [05:50<06:45,  3.75s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 92 items to ./fact/sinstruct_sharegpt/Education.json
 46%|████████████████████████████▊                                 | 93/200 [05:53<06:06,  3.43s/it] 47%|█████████████████████████████▏                                | 94/200 [05:58<06:45,  3.82s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 94 items to ./fact/sinstruct_sharegpt/Education.json
 48%|█████████████████████████████▍                                | 95/200 [05:58<05:05,  2.91s/it] 48%|█████████████████████████████▊                                | 96/200 [06:04<06:18,  3.64s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 96 items to ./fact/sinstruct_sharegpt/Education.json
 48%|██████████████████████████████                                | 97/200 [06:10<07:52,  4.59s/it] 49%|██████████████████████████████▍                               | 98/200 [06:20<10:18,  6.06s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 98 items to ./fact/sinstruct_sharegpt/Education.json
 50%|██████████████████████████████▋                               | 99/200 [06:21<07:36,  4.52s/it] 50%|██████████████████████████████▌                              | 100/200 [06:22<05:53,  3.54s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 100 items to ./fact/sinstruct_sharegpt/Education.json
 50%|██████████████████████████████▊                              | 101/200 [06:27<06:36,  4.01s/it] 51%|███████████████████████████████                              | 102/200 [06:28<04:55,  3.01s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 102 items to ./fact/sinstruct_sharegpt/Education.json
 52%|███████████████████████████████▍                             | 103/200 [06:35<06:46,  4.19s/it] 52%|███████████████████████████████▋                             | 104/200 [06:36<05:13,  3.26s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 104 items to ./fact/sinstruct_sharegpt/Education.json
 52%|████████████████████████████████                             | 105/200 [06:44<07:15,  4.58s/it] 53%|████████████████████████████████▎                            | 106/200 [06:44<05:20,  3.41s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 106 items to ./fact/sinstruct_sharegpt/Education.json
 54%|████████████████████████████████▋                            | 107/200 [06:50<06:33,  4.23s/it] 54%|████████████████████████████████▉                            | 108/200 [07:02<09:46,  6.37s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 108 items to ./fact/sinstruct_sharegpt/Education.json
 55%|█████████████████████████████████▏                           | 109/200 [07:12<11:20,  7.47s/it] 55%|█████████████████████████████████▌                           | 110/200 [07:18<10:33,  7.04s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 110 items to ./fact/sinstruct_sharegpt/Education.json
 56%|█████████████████████████████████▊                           | 111/200 [07:22<09:13,  6.22s/it] 56%|██████████████████████████████████▏                          | 112/200 [07:23<06:41,  4.57s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 112 items to ./fact/sinstruct_sharegpt/Education.json
 56%|██████████████████████████████████▍                          | 113/200 [07:24<05:06,  3.53s/it] 57%|██████████████████████████████████▊                          | 114/200 [07:25<03:49,  2.67s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 114 items to ./fact/sinstruct_sharegpt/Education.json
 57%|███████████████████████████████████                          | 115/200 [07:31<05:28,  3.86s/it] 58%|███████████████████████████████████▍                         | 116/200 [07:33<04:24,  3.15s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 116 items to ./fact/sinstruct_sharegpt/Education.json
 58%|███████████████████████████████████▋                         | 117/200 [07:39<05:38,  4.08s/it] 59%|███████████████████████████████████▉                         | 118/200 [07:46<06:40,  4.88s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 118 items to ./fact/sinstruct_sharegpt/Education.json
 60%|████████████████████████████████████▎                        | 119/200 [07:47<04:54,  3.64s/it] 60%|████████████████████████████████████▌                        | 120/200 [07:54<06:21,  4.77s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 120 items to ./fact/sinstruct_sharegpt/Education.json
 60%|████████████████████████████████████▉                        | 121/200 [07:58<06:05,  4.62s/it] 61%|█████████████████████████████████████▏                       | 122/200 [07:59<04:33,  3.51s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 122 items to ./fact/sinstruct_sharegpt/Education.json
 62%|█████████████████████████████████████▌                       | 123/200 [08:00<03:36,  2.81s/it] 62%|█████████████████████████████████████▊                       | 124/200 [08:01<02:48,  2.21s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 124 items to ./fact/sinstruct_sharegpt/Education.json
 62%|██████████████████████████████████████▏                      | 125/200 [08:02<02:13,  1.78s/it] 63%|██████████████████████████████████████▍                      | 126/200 [08:03<01:49,  1.48s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 126 items to ./fact/sinstruct_sharegpt/Education.json
 64%|██████████████████████████████████████▋                      | 127/200 [08:08<03:02,  2.50s/it] 64%|███████████████████████████████████████                      | 128/200 [08:15<04:44,  3.96s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 128 items to ./fact/sinstruct_sharegpt/Education.json
 64%|███████████████████████████████████████▎                     | 129/200 [08:16<03:33,  3.00s/it] 65%|███████████████████████████████████████▋                     | 130/200 [08:17<02:51,  2.46s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 130 items to ./fact/sinstruct_sharegpt/Education.json
 66%|███████████████████████████████████████▉                     | 131/200 [08:18<02:15,  1.96s/it] 66%|████████████████████████████████████████▎                    | 132/200 [08:25<04:06,  3.62s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 132 items to ./fact/sinstruct_sharegpt/Education.json
 66%|████████████████████████████████████████▌                    | 133/200 [08:34<05:46,  5.17s/it] 67%|████████████████████████████████████████▊                    | 134/200 [08:39<05:45,  5.23s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 134 items to ./fact/sinstruct_sharegpt/Education.json
 68%|█████████████████████████████████████████▏                   | 135/200 [08:40<04:11,  3.87s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [08:41<03:07,  2.93s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 136 items to ./fact/sinstruct_sharegpt/Education.json
 68%|█████████████████████████████████████████▊                   | 137/200 [08:47<04:03,  3.87s/it] 69%|██████████████████████████████████████████                   | 138/200 [08:49<03:20,  3.23s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 138 items to ./fact/sinstruct_sharegpt/Education.json
 70%|██████████████████████████████████████████▍                  | 139/200 [08:49<02:30,  2.47s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [08:54<03:04,  3.08s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 140 items to ./fact/sinstruct_sharegpt/Education.json
 70%|███████████████████████████████████████████                  | 141/200 [08:58<03:27,  3.51s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [09:03<03:42,  3.83s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 142 items to ./fact/sinstruct_sharegpt/Education.json
 72%|███████████████████████████████████████████▌                 | 143/200 [09:04<02:48,  2.96s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [09:09<03:15,  3.49s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 144 items to ./fact/sinstruct_sharegpt/Education.json
 72%|████████████████████████████████████████████▏                | 145/200 [09:10<02:31,  2.76s/it] 73%|████████████████████████████████████████████▌                | 146/200 [09:16<03:24,  3.79s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 146 items to ./fact/sinstruct_sharegpt/Education.json
 74%|████████████████████████████████████████████▊                | 147/200 [09:24<04:29,  5.08s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [09:28<04:12,  4.86s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 148 items to ./fact/sinstruct_sharegpt/Education.json
 74%|█████████████████████████████████████████████▍               | 149/200 [09:36<04:46,  5.62s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [09:45<05:40,  6.82s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 150 items to ./fact/sinstruct_sharegpt/Education.json
 76%|██████████████████████████████████████████████               | 151/200 [09:46<04:07,  5.04s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [09:55<05:02,  6.31s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 152 items to ./fact/sinstruct_sharegpt/Education.json
 76%|██████████████████████████████████████████████▋              | 153/200 [10:01<04:43,  6.02s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [10:04<04:04,  5.31s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 154 items to ./fact/sinstruct_sharegpt/Education.json
 78%|███████████████████████████████████████████████▎             | 155/200 [10:05<02:56,  3.93s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [10:06<02:12,  3.00s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 156 items to ./fact/sinstruct_sharegpt/Education.json
 78%|███████████████████████████████████████████████▉             | 157/200 [10:07<01:39,  2.31s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [10:10<01:53,  2.70s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 158 items to ./fact/sinstruct_sharegpt/Education.json
 80%|████████████████████████████████████████████████▍            | 159/200 [10:14<02:09,  3.16s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [10:21<02:52,  4.32s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 160 items to ./fact/sinstruct_sharegpt/Education.json
 80%|█████████████████████████████████████████████████            | 161/200 [10:24<02:23,  3.68s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [10:36<04:01,  6.37s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 162 items to ./fact/sinstruct_sharegpt/Education.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [10:48<04:58,  8.07s/it] 82%|██████████████████████████████████████████████████           | 164/200 [10:49<03:33,  5.92s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 164 items to ./fact/sinstruct_sharegpt/Education.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [10:54<03:19,  5.71s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [10:57<02:41,  4.75s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 166 items to ./fact/sinstruct_sharegpt/Education.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [10:59<02:04,  3.79s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [11:08<02:57,  5.54s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 168 items to ./fact/sinstruct_sharegpt/Education.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [11:10<02:16,  4.39s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [11:11<01:38,  3.27s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 170 items to ./fact/sinstruct_sharegpt/Education.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [11:16<01:54,  3.95s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [11:20<01:49,  3.93s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 172 items to ./fact/sinstruct_sharegpt/Education.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [11:21<01:23,  3.08s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [11:24<01:19,  3.07s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 174 items to ./fact/sinstruct_sharegpt/Education.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [11:25<01:03,  2.55s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [11:31<01:21,  3.39s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 176 items to ./fact/sinstruct_sharegpt/Education.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [11:36<01:31,  3.97s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [11:41<01:32,  4.21s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 178 items to ./fact/sinstruct_sharegpt/Education.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [11:45<01:27,  4.18s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [11:51<01:31,  4.59s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 180 items to ./fact/sinstruct_sharegpt/Education.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [11:57<01:39,  5.24s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [12:05<01:47,  5.97s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 182 items to ./fact/sinstruct_sharegpt/Education.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [12:09<01:32,  5.42s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [12:18<01:43,  6.50s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 184 items to ./fact/sinstruct_sharegpt/Education.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [12:27<01:46,  7.13s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [12:28<01:13,  5.29s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 186 items to ./fact/sinstruct_sharegpt/Education.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [12:28<00:50,  3.91s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [12:34<00:53,  4.43s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 188 items to ./fact/sinstruct_sharegpt/Education.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [12:35<00:36,  3.36s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [12:43<00:48,  4.83s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 190 items to ./fact/sinstruct_sharegpt/Education.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [12:44<00:33,  3.72s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [12:50<00:34,  4.35s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 192 items to ./fact/sinstruct_sharegpt/Education.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [12:51<00:22,  3.28s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [12:58<00:26,  4.44s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 194 items to ./fact/sinstruct_sharegpt/Education.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [13:01<00:20,  4.10s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [13:09<00:20,  5.09s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 196 items to ./fact/sinstruct_sharegpt/Education.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [13:19<00:19,  6.55s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [13:25<00:12,  6.49s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 198 items to ./fact/sinstruct_sharegpt/Education.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [13:26<00:04,  4.79s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [13:27<00:00,  3.64s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [13:27<00:00,  4.04s/it]
Process ID: [2339268] | Model: llama-7b | File: Education | Saving 200 items to ./fact/sinstruct_sharegpt/Education.json
Process ID: [2339268] | Exit
Process ID: [2339268] | Loading data from ./sft2/sinstruct_sharegpt/Open-Domain.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 0 items to ./fact/sinstruct_sharegpt/Open-Domain.json
  0%|▎                                                              | 1/200 [00:00<02:13,  1.49it/s]  1%|▋                                                              | 2/200 [00:02<04:55,  1.49s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 2 items to ./fact/sinstruct_sharegpt/Open-Domain.json
  2%|▉                                                              | 3/200 [00:05<06:12,  1.89s/it]  2%|█▎                                                             | 4/200 [00:06<05:46,  1.77s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 4 items to ./fact/sinstruct_sharegpt/Open-Domain.json
  2%|█▌                                                             | 5/200 [00:08<05:16,  1.62s/it]  3%|█▉                                                             | 6/200 [00:11<07:22,  2.28s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 6 items to ./fact/sinstruct_sharegpt/Open-Domain.json
  4%|██▏                                                            | 7/200 [00:12<05:56,  1.85s/it]  4%|██▌                                                            | 8/200 [00:19<11:00,  3.44s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 8 items to ./fact/sinstruct_sharegpt/Open-Domain.json
  4%|██▊                                                            | 9/200 [00:24<12:32,  3.94s/it]  5%|███                                                           | 10/200 [00:25<09:23,  2.97s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 10 items to ./fact/sinstruct_sharegpt/Open-Domain.json
  6%|███▍                                                          | 11/200 [00:27<08:35,  2.73s/it]  6%|███▋                                                          | 12/200 [00:32<10:44,  3.43s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 12 items to ./fact/sinstruct_sharegpt/Open-Domain.json
  6%|████                                                          | 13/200 [00:33<08:10,  2.62s/it]  7%|████▎                                                         | 14/200 [00:36<08:34,  2.77s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 14 items to ./fact/sinstruct_sharegpt/Open-Domain.json
  8%|████▋                                                         | 15/200 [00:37<06:40,  2.16s/it]  8%|████▉                                                         | 16/200 [00:39<06:27,  2.11s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 16 items to ./fact/sinstruct_sharegpt/Open-Domain.json
  8%|█████▎                                                        | 17/200 [00:41<06:23,  2.10s/it]  9%|█████▌                                                        | 18/200 [00:42<05:43,  1.89s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 18 items to ./fact/sinstruct_sharegpt/Open-Domain.json
 10%|█████▉                                                        | 19/200 [00:45<06:25,  2.13s/it] 10%|██████▏                                                       | 20/200 [00:46<05:21,  1.78s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 20 items to ./fact/sinstruct_sharegpt/Open-Domain.json
 10%|██████▌                                                       | 21/200 [00:48<05:20,  1.79s/it] 11%|██████▊                                                       | 22/200 [00:49<04:44,  1.60s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 22 items to ./fact/sinstruct_sharegpt/Open-Domain.json
 12%|███████▏                                                      | 23/200 [00:50<04:04,  1.38s/it] 12%|███████▍                                                      | 24/200 [00:50<03:30,  1.20s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 24 items to ./fact/sinstruct_sharegpt/Open-Domain.json
 12%|███████▊                                                      | 25/200 [00:58<09:07,  3.13s/it] 13%|████████                                                      | 26/200 [00:59<06:56,  2.39s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 26 items to ./fact/sinstruct_sharegpt/Open-Domain.json
 14%|████████▎                                                     | 27/200 [01:00<05:49,  2.02s/it] 14%|████████▋                                                     | 28/200 [01:04<07:30,  2.62s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 28 items to ./fact/sinstruct_sharegpt/Open-Domain.json
 14%|████████▉                                                     | 29/200 [01:05<05:59,  2.10s/it] 15%|█████████▎                                                    | 30/200 [01:06<04:52,  1.72s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 30 items to ./fact/sinstruct_sharegpt/Open-Domain.json
 16%|█████████▌                                                    | 31/200 [01:09<06:10,  2.19s/it] 16%|█████████▉                                                    | 32/200 [01:11<05:44,  2.05s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 32 items to ./fact/sinstruct_sharegpt/Open-Domain.json
 16%|██████████▏                                                   | 33/200 [01:18<10:01,  3.60s/it] 17%|██████████▌                                                   | 34/200 [01:30<17:14,  6.23s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 34 items to ./fact/sinstruct_sharegpt/Open-Domain.json
 18%|██████████▊                                                   | 35/200 [01:36<16:40,  6.06s/it] 18%|███████████▏                                                  | 36/200 [01:38<13:10,  4.82s/it]Process ID: [2339268] | Model: llama-7b | File: Open-Domain | Saving 36 items to ./fact/sinstruct_sharegpt/Open-Domain.json
