Process ID: [2339266] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-7b
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./sft2/sharegpt
    save_dir: ./fact/sharegpt
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2339266] | Loading data from ./sft2/sharegpt/Bio-Medical.json | Total 200
Process ID: [2339266] | Loading exist data from ./fact/sharegpt/Bio-Medical.json | Total 0
   0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 0 items to ./fact/sharegpt/Bio-Medical.json
   0%|▎                                                              | 1/200 [00:09<29:58,  9.04s/it]   1%|▋                                                              | 2/200 [00:22<38:17, 11.60s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 2 items to ./fact/sharegpt/Bio-Medical.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [13:21<03:14,  5.89s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [13:30<03:39,  6.85s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 168 items to ./fact/sharegpt/Education.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [13:32<02:47,  5.41s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [13:41<03:10,  6.37s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 170 items to ./fact/sharegpt/Education.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [13:46<02:57,  6.13s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [13:50<02:32,  5.45s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 172 items to ./fact/sharegpt/Education.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [13:51<01:49,  4.07s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [13:55<01:45,  4.07s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 174 items to ./fact/sharegpt/Education.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [14:00<01:48,  4.35s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [14:08<02:07,  5.32s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 176 items to ./fact/sharegpt/Education.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [14:16<02:19,  6.06s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [14:21<02:12,  6.01s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 178 items to ./fact/sharegpt/Education.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [14:27<02:03,  5.88s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [14:33<01:55,  5.77s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 180 items to ./fact/sharegpt/Education.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [14:34<01:22,  4.34s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [14:39<01:23,  4.63s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 182 items to ./fact/sharegpt/Education.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [14:44<01:21,  4.82s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [14:51<01:27,  5.46s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 184 items to ./fact/sharegpt/Education.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [14:59<01:33,  6.22s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [15:04<01:22,  5.93s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 186 items to ./fact/sharegpt/Education.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [15:05<00:58,  4.48s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [15:32<02:14, 11.19s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 188 items to ./fact/sharegpt/Education.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [15:39<01:48,  9.90s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [15:45<01:27,  8.78s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 190 items to ./fact/sharegpt/Education.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [15:47<00:58,  6.53s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [15:52<00:48,  6.10s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 192 items to ./fact/sharegpt/Education.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [16:03<00:53,  7.65s/it]Error: 该令牌额度已用尽 (request id: 20231218044544556242715dfrfAQiZ)
Retrying...
Error: 该令牌额度已用尽 (request id: 202312180445553327461215BKu8DhW)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218044605751493527nis2a69N)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231217234602621680388D8Bk7fsA)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231217234613265630412N2lDJU36)
Retrying...
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [16:55<00:36,  5.26s/it]
Process ID: [2339266] | Model: llama-7b | File: Education | Saving 193 items to ./fact/sharegpt/Education.json
Process ID: [2339266] | Exit
Traceback (most recent call last):
  File "/home/chenjie/Project/fact_hallu/fact.py", line 92, in <module>
    factbot.generate_facts(
  File "/home/chenjie/Project/fact_hallu/fact.py", line 57, in generate_facts
    ans = complete_func(query, self.assist_model, **kwargs)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/chenjie/Project/fact_hallu/response.py", line 301, in openai_complete
    raise ValueError("Failed to generate response")
ValueError: Failed to generate response
Process ID: [2410643] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-7b
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./sft2/sharegpt
    save_dir: ./fact/sharegpt
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2410643] | Loading data from ./sft2/sharegpt/Bio-Medical.json | Total 200
Process ID: [2410643] | Loading exist data from ./fact/sharegpt/Bio-Medical.json | Total 200
Process ID: [2410643] | Model: llama-7b | File: Bio-Medical | Saving 200 items to ./fact/sharegpt/Bio-Medical.json
Process ID: [2410643] | Exit
Process ID: [2410643] | Loading data from ./sft2/sharegpt/Finance.json | Total 200
Process ID: [2410643] | Loading exist data from ./fact/sharegpt/Finance.json | Total 200
Process ID: [2410643] | Model: llama-7b | File: Finance | Saving 200 items to ./fact/sharegpt/Finance.json
Process ID: [2410643] | Exit
Process ID: [2410643] | Loading data from ./sft2/sharegpt/Science.json | Total 200
Process ID: [2410643] | Loading exist data from ./fact/sharegpt/Science.json | Total 200
Process ID: [2410643] | Model: llama-7b | File: Science | Saving 200 items to ./fact/sharegpt/Science.json
Process ID: [2410643] | Exit
Process ID: [2410643] | Loading data from ./sft2/sharegpt/Education.json | Total 200
Process ID: [2410643] | Loading exist data from ./fact/sharegpt/Education.json | Total 193
  0%|                                                                         | 0/7 [00:00<?, ?it/s] 14%|█████████▎                                                       | 1/7 [00:08<00:53,  8.93s/it]Process ID: [2410643] | Model: llama-7b | File: Education | Saving 194 items to ./fact/sharegpt/Education.json
 29%|██████████████████▌                                              | 2/7 [00:18<00:46,  9.22s/it] 43%|███████████████████████████▊                                     | 3/7 [00:30<00:42, 10.62s/it]Process ID: [2410643] | Model: llama-7b | File: Education | Saving 196 items to ./fact/sharegpt/Education.json
 57%|█████████████████████████████████████▏                           | 4/7 [00:36<00:26,  8.87s/it] 71%|██████████████████████████████████████████████▍                  | 5/7 [00:53<00:23, 11.62s/it]Process ID: [2410643] | Model: llama-7b | File: Education | Saving 198 items to ./fact/sharegpt/Education.json
 86%|███████████████████████████████████████████████████████▋         | 6/7 [01:01<00:10, 10.57s/it]100%|█████████████████████████████████████████████████████████████████| 7/7 [01:05<00:00,  8.46s/it]100%|█████████████████████████████████████████████████████████████████| 7/7 [01:05<00:00,  9.42s/it]
Process ID: [2410643] | Model: llama-7b | File: Education | Saving 200 items to ./fact/sharegpt/Education.json
Process ID: [2410643] | Exit
Process ID: [2410643] | Loading data from ./sft2/sharegpt/Open-Domain.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 0 items to ./fact/sharegpt/Open-Domain.json
  0%|▎                                                              | 1/200 [00:00<02:28,  1.34it/s]  1%|▋                                                              | 2/200 [00:01<02:39,  1.24it/s]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 2 items to ./fact/sharegpt/Open-Domain.json
  2%|▉                                                              | 3/200 [00:03<04:12,  1.28s/it]  2%|█▎                                                             | 4/200 [00:05<04:44,  1.45s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 4 items to ./fact/sharegpt/Open-Domain.json
  2%|█▌                                                             | 5/200 [00:06<04:18,  1.33s/it]  3%|█▉                                                             | 6/200 [00:14<11:31,  3.56s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 6 items to ./fact/sharegpt/Open-Domain.json
  4%|██▏                                                            | 7/200 [00:15<08:37,  2.68s/it]  4%|██▌                                                            | 8/200 [00:21<12:54,  4.03s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 8 items to ./fact/sharegpt/Open-Domain.json
  4%|██▊                                                            | 9/200 [00:22<09:49,  3.08s/it]  5%|███                                                           | 10/200 [00:26<10:34,  3.34s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 10 items to ./fact/sharegpt/Open-Domain.json
  6%|███▍                                                          | 11/200 [00:31<11:26,  3.63s/it]  6%|███▋                                                          | 12/200 [00:35<12:04,  3.86s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 12 items to ./fact/sharegpt/Open-Domain.json
  6%|████                                                          | 13/200 [00:38<11:20,  3.64s/it]  7%|████▎                                                         | 14/200 [00:39<09:04,  2.93s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 14 items to ./fact/sharegpt/Open-Domain.json
  8%|████▋                                                         | 15/200 [00:45<11:32,  3.75s/it]  8%|████▉                                                         | 16/200 [00:52<14:06,  4.60s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 16 items to ./fact/sharegpt/Open-Domain.json
  8%|█████▎                                                        | 17/200 [00:56<13:34,  4.45s/it]  9%|█████▌                                                        | 18/200 [00:59<11:55,  3.93s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 18 items to ./fact/sharegpt/Open-Domain.json
 10%|█████▉                                                        | 19/200 [01:00<09:15,  3.07s/it] 10%|██████▏                                                       | 20/200 [01:00<07:10,  2.39s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 20 items to ./fact/sharegpt/Open-Domain.json
 10%|██████▌                                                       | 21/200 [01:06<10:19,  3.46s/it] 11%|██████▊                                                       | 22/200 [01:11<11:15,  3.79s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 22 items to ./fact/sharegpt/Open-Domain.json
 12%|███████▏                                                      | 23/200 [01:23<18:23,  6.24s/it] 12%|███████▍                                                      | 24/200 [01:29<17:50,  6.08s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 24 items to ./fact/sharegpt/Open-Domain.json
 12%|███████▊                                                      | 25/200 [01:31<14:28,  4.97s/it] 13%|████████                                                      | 26/200 [01:32<11:08,  3.84s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 26 items to ./fact/sharegpt/Open-Domain.json
 14%|████████▎                                                     | 27/200 [01:33<08:29,  2.94s/it] 14%|████████▋                                                     | 28/200 [01:34<06:34,  2.30s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 28 items to ./fact/sharegpt/Open-Domain.json
 14%|████████▉                                                     | 29/200 [01:35<05:48,  2.04s/it] 15%|█████████▎                                                    | 30/200 [01:36<04:42,  1.66s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 30 items to ./fact/sharegpt/Open-Domain.json
 16%|█████████▌                                                    | 31/200 [01:38<05:07,  1.82s/it] 16%|█████████▉                                                    | 32/200 [01:39<04:29,  1.60s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 32 items to ./fact/sharegpt/Open-Domain.json
 16%|██████████▏                                                   | 33/200 [01:47<09:15,  3.33s/it] 17%|██████████▌                                                   | 34/200 [01:56<14:26,  5.22s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 34 items to ./fact/sharegpt/Open-Domain.json
 18%|██████████▊                                                   | 35/200 [02:07<18:53,  6.87s/it] 18%|███████████▏                                                  | 36/200 [02:09<14:42,  5.38s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 36 items to ./fact/sharegpt/Open-Domain.json
 18%|███████████▍                                                  | 37/200 [02:10<11:08,  4.10s/it] 19%|███████████▊                                                  | 38/200 [02:14<11:11,  4.15s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 38 items to ./fact/sharegpt/Open-Domain.json
 20%|████████████                                                  | 39/200 [02:21<13:03,  4.86s/it] 20%|████████████▍                                                 | 40/200 [02:25<12:25,  4.66s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 40 items to ./fact/sharegpt/Open-Domain.json
 20%|████████████▋                                                 | 41/200 [02:29<11:35,  4.37s/it] 21%|█████████████                                                 | 42/200 [02:29<08:38,  3.28s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 42 items to ./fact/sharegpt/Open-Domain.json
 22%|█████████████▎                                                | 43/200 [02:30<06:36,  2.53s/it] 22%|█████████████▋                                                | 44/200 [02:31<05:17,  2.04s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 44 items to ./fact/sharegpt/Open-Domain.json
 22%|█████████████▉                                                | 45/200 [02:32<04:14,  1.64s/it] 23%|██████████████▎                                               | 46/200 [02:33<03:41,  1.44s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 46 items to ./fact/sharegpt/Open-Domain.json
 24%|██████████████▌                                               | 47/200 [02:36<04:57,  1.95s/it] 24%|██████████████▉                                               | 48/200 [02:44<09:17,  3.66s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 48 items to ./fact/sharegpt/Open-Domain.json
 24%|███████████████▏                                              | 49/200 [02:51<12:20,  4.90s/it] 25%|███████████████▌                                              | 50/200 [03:03<17:34,  7.03s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 50 items to ./fact/sharegpt/Open-Domain.json
 26%|███████████████▊                                              | 51/200 [03:12<18:32,  7.47s/it] 26%|████████████████                                              | 52/200 [03:14<14:13,  5.77s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 52 items to ./fact/sharegpt/Open-Domain.json
 26%|████████████████▍                                             | 53/200 [03:25<18:20,  7.48s/it] 27%|████████████████▋                                             | 54/200 [03:26<13:17,  5.46s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 54 items to ./fact/sharegpt/Open-Domain.json
 28%|█████████████████                                             | 55/200 [03:30<11:59,  4.96s/it] 28%|█████████████████▎                                            | 56/200 [03:34<11:33,  4.82s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 56 items to ./fact/sharegpt/Open-Domain.json
 28%|█████████████████▋                                            | 57/200 [03:35<08:37,  3.62s/it] 29%|█████████████████▉                                            | 58/200 [03:36<06:40,  2.82s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 58 items to ./fact/sharegpt/Open-Domain.json
 30%|██████████████████▎                                           | 59/200 [03:37<05:22,  2.29s/it] 30%|██████████████████▌                                           | 60/200 [03:45<09:38,  4.14s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 60 items to ./fact/sharegpt/Open-Domain.json
 30%|██████████████████▉                                           | 61/200 [03:46<07:15,  3.13s/it] 31%|███████████████████▏                                          | 62/200 [03:55<11:00,  4.79s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 62 items to ./fact/sharegpt/Open-Domain.json
 32%|███████████████████▌                                          | 63/200 [03:59<10:45,  4.71s/it] 32%|███████████████████▊                                          | 64/200 [04:14<17:28,  7.71s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 64 items to ./fact/sharegpt/Open-Domain.json
 32%|████████████████████▏                                         | 65/200 [04:26<20:03,  8.92s/it] 33%|████████████████████▍                                         | 66/200 [04:27<14:35,  6.53s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 66 items to ./fact/sharegpt/Open-Domain.json
 34%|████████████████████▊                                         | 67/200 [04:32<13:20,  6.02s/it] 34%|█████████████████████                                         | 68/200 [04:50<21:05,  9.58s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 68 items to ./fact/sharegpt/Open-Domain.json
 34%|█████████████████████▍                                        | 69/200 [04:55<18:30,  8.47s/it] 35%|█████████████████████▋                                        | 70/200 [04:56<13:28,  6.22s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 70 items to ./fact/sharegpt/Open-Domain.json
 36%|██████████████████████                                        | 71/200 [05:00<11:42,  5.45s/it] 36%|██████████████████████▎                                       | 72/200 [05:02<09:22,  4.40s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 72 items to ./fact/sharegpt/Open-Domain.json
 36%|██████████████████████▋                                       | 73/200 [05:04<08:00,  3.79s/it] 37%|██████████████████████▉                                       | 74/200 [05:08<07:57,  3.79s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 74 items to ./fact/sharegpt/Open-Domain.json
 38%|███████████████████████▎                                      | 75/200 [05:10<06:39,  3.20s/it] 38%|███████████████████████▌                                      | 76/200 [05:11<05:15,  2.54s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 76 items to ./fact/sharegpt/Open-Domain.json
 38%|███████████████████████▊                                      | 77/200 [05:19<08:51,  4.32s/it] 39%|████████████████████████▏                                     | 78/200 [05:20<06:35,  3.24s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 78 items to ./fact/sharegpt/Open-Domain.json
 40%|████████████████████████▍                                     | 79/200 [05:25<07:38,  3.79s/it] 40%|████████████████████████▊                                     | 80/200 [05:26<05:43,  2.86s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 80 items to ./fact/sharegpt/Open-Domain.json
 40%|█████████████████████████                                     | 81/200 [05:31<07:07,  3.59s/it] 41%|█████████████████████████▍                                    | 82/200 [05:36<07:30,  3.82s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 82 items to ./fact/sharegpt/Open-Domain.json
 42%|█████████████████████████▋                                    | 83/200 [05:36<05:44,  2.94s/it] 42%|██████████████████████████                                    | 84/200 [05:43<07:49,  4.05s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 84 items to ./fact/sharegpt/Open-Domain.json
 42%|██████████████████████████▎                                   | 85/200 [05:44<05:55,  3.09s/it] 43%|██████████████████████████▋                                   | 86/200 [05:52<08:53,  4.68s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 86 items to ./fact/sharegpt/Open-Domain.json
 44%|██████████████████████████▉                                   | 87/200 [05:58<09:23,  4.99s/it] 44%|███████████████████████████▎                                  | 88/200 [05:59<06:59,  3.75s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 88 items to ./fact/sharegpt/Open-Domain.json
 44%|███████████████████████████▌                                  | 89/200 [06:00<05:15,  2.84s/it] 45%|███████████████████████████▉                                  | 90/200 [06:01<04:27,  2.43s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 90 items to ./fact/sharegpt/Open-Domain.json
 46%|████████████████████████████▏                                 | 91/200 [06:02<03:30,  1.93s/it] 46%|████████████████████████████▌                                 | 92/200 [06:03<03:09,  1.76s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 92 items to ./fact/sharegpt/Open-Domain.json
 46%|████████████████████████████▊                                 | 93/200 [06:06<03:30,  1.96s/it] 47%|█████████████████████████████▏                                | 94/200 [06:06<02:52,  1.63s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 94 items to ./fact/sharegpt/Open-Domain.json
 48%|█████████████████████████████▍                                | 95/200 [06:11<04:35,  2.62s/it] 48%|█████████████████████████████▊                                | 96/200 [06:18<06:24,  3.69s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 96 items to ./fact/sharegpt/Open-Domain.json
 48%|██████████████████████████████                                | 97/200 [06:22<06:55,  4.04s/it] 49%|██████████████████████████████▍                               | 98/200 [06:28<07:42,  4.54s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 98 items to ./fact/sharegpt/Open-Domain.json
 50%|██████████████████████████████▋                               | 99/200 [06:29<05:42,  3.39s/it] 50%|██████████████████████████████▌                              | 100/200 [06:30<04:26,  2.66s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 100 items to ./fact/sharegpt/Open-Domain.json
 50%|██████████████████████████████▊                              | 101/200 [06:33<04:44,  2.88s/it] 51%|███████████████████████████████                              | 102/200 [06:34<03:42,  2.27s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 102 items to ./fact/sharegpt/Open-Domain.json
 52%|███████████████████████████████▍                             | 103/200 [06:35<02:58,  1.84s/it] 52%|███████████████████████████████▋                             | 104/200 [06:40<04:39,  2.91s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 104 items to ./fact/sharegpt/Open-Domain.json
 52%|████████████████████████████████                             | 105/200 [06:46<06:00,  3.80s/it] 53%|████████████████████████████████▎                            | 106/200 [06:47<04:41,  2.99s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 106 items to ./fact/sharegpt/Open-Domain.json
 54%|████████████████████████████████▋                            | 107/200 [06:49<04:10,  2.69s/it] 54%|████████████████████████████████▉                            | 108/200 [06:59<07:32,  4.92s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 108 items to ./fact/sharegpt/Open-Domain.json
 55%|█████████████████████████████████▏                           | 109/200 [07:03<06:55,  4.57s/it] 55%|█████████████████████████████████▌                           | 110/200 [07:06<06:11,  4.13s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 110 items to ./fact/sharegpt/Open-Domain.json
 56%|█████████████████████████████████▊                           | 111/200 [07:17<08:58,  6.05s/it] 56%|██████████████████████████████████▏                          | 112/200 [07:18<06:42,  4.58s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 112 items to ./fact/sharegpt/Open-Domain.json
 56%|██████████████████████████████████▍                          | 113/200 [07:23<06:40,  4.61s/it] 57%|██████████████████████████████████▊                          | 114/200 [07:23<04:57,  3.46s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 114 items to ./fact/sharegpt/Open-Domain.json
 57%|███████████████████████████████████                          | 115/200 [07:25<04:15,  3.01s/it] 58%|███████████████████████████████████▍                         | 116/200 [07:35<06:52,  4.91s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 116 items to ./fact/sharegpt/Open-Domain.json
 58%|███████████████████████████████████▋                         | 117/200 [07:36<05:26,  3.93s/it] 59%|███████████████████████████████████▉                         | 118/200 [07:43<06:36,  4.83s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 118 items to ./fact/sharegpt/Open-Domain.json
 60%|████████████████████████████████████▎                        | 119/200 [07:44<04:52,  3.62s/it] 60%|████████████████████████████████████▌                        | 120/200 [07:49<05:09,  3.87s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 120 items to ./fact/sharegpt/Open-Domain.json
 60%|████████████████████████████████████▉                        | 121/200 [07:57<06:55,  5.26s/it] 61%|█████████████████████████████████████▏                       | 122/200 [08:00<05:46,  4.45s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 122 items to ./fact/sharegpt/Open-Domain.json
 62%|█████████████████████████████████████▌                       | 123/200 [08:02<04:53,  3.81s/it] 62%|█████████████████████████████████████▊                       | 124/200 [08:04<04:12,  3.32s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 124 items to ./fact/sharegpt/Open-Domain.json
 62%|██████████████████████████████████████▏                      | 125/200 [08:06<03:40,  2.94s/it] 63%|██████████████████████████████████████▍                      | 126/200 [08:08<03:07,  2.53s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 126 items to ./fact/sharegpt/Open-Domain.json
 64%|██████████████████████████████████████▋                      | 127/200 [08:14<04:22,  3.59s/it] 64%|███████████████████████████████████████                      | 128/200 [08:15<03:19,  2.77s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 128 items to ./fact/sharegpt/Open-Domain.json
 64%|███████████████████████████████████████▎                     | 129/200 [08:16<02:48,  2.37s/it] 65%|███████████████████████████████████████▋                     | 130/200 [08:18<02:42,  2.32s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 130 items to ./fact/sharegpt/Open-Domain.json
 66%|███████████████████████████████████████▉                     | 131/200 [08:23<03:34,  3.11s/it] 66%|████████████████████████████████████████▎                    | 132/200 [08:24<02:42,  2.38s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 132 items to ./fact/sharegpt/Open-Domain.json
 66%|████████████████████████████████████████▌                    | 133/200 [08:25<02:14,  2.01s/it] 67%|████████████████████████████████████████▊                    | 134/200 [08:31<03:31,  3.20s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 134 items to ./fact/sharegpt/Open-Domain.json
 68%|█████████████████████████████████████████▏                   | 135/200 [08:38<04:40,  4.32s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [08:39<03:36,  3.39s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 136 items to ./fact/sharegpt/Open-Domain.json
 68%|█████████████████████████████████████████▊                   | 137/200 [08:40<02:46,  2.64s/it] 69%|██████████████████████████████████████████                   | 138/200 [08:52<05:34,  5.40s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 138 items to ./fact/sharegpt/Open-Domain.json
 70%|██████████████████████████████████████████▍                  | 139/200 [08:55<04:46,  4.70s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [08:56<03:30,  3.52s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 140 items to ./fact/sharegpt/Open-Domain.json
 70%|███████████████████████████████████████████                  | 141/200 [09:04<04:51,  4.95s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [09:05<03:34,  3.70s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 142 items to ./fact/sharegpt/Open-Domain.json
 72%|███████████████████████████████████████████▌                 | 143/200 [09:08<03:27,  3.64s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [09:09<02:34,  2.76s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 144 items to ./fact/sharegpt/Open-Domain.json
 72%|████████████████████████████████████████████▏                | 145/200 [09:21<05:06,  5.57s/it] 73%|████████████████████████████████████████████▌                | 146/200 [09:23<04:05,  4.55s/it]Process ID: [2410643] | Model: llama-7b | File: Open-Domain | Saving 146 items to ./fact/sharegpt/Open-Domain.json
