Process ID: [2461869] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    save_dir: ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/determine_truthfulness_ins.txt
Process ID: [2461869] | Loading data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:08<27:22,  8.25s/it]  1%|▋                                                              | 2/200 [00:26<47:07, 14.28s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 40%|█████████████████████████                                     | 81/200 [14:52<21:22, 10.78s/it] 41%|█████████████████████████▍                                    | 82/200 [15:40<42:58, 21.85s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 82 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 42%|█████████████████████████▋                                    | 83/200 [15:49<34:50, 17.87s/it] 42%|██████████████████████████                                    | 84/200 [16:01<31:29, 16.29s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 84 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 42%|██████████████████████████▎                                   | 85/200 [16:15<29:29, 15.39s/it] 43%|██████████████████████████▋                                   | 86/200 [16:40<35:04, 18.46s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 86 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 44%|██████████████████████████▉                                   | 87/200 [16:53<31:18, 16.62s/it] 44%|███████████████████████████▎                                  | 88/200 [17:00<26:02, 13.95s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 88 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 44%|███████████████████████████▌                                  | 89/200 [17:07<21:39, 11.71s/it] 45%|███████████████████████████▉                                  | 90/200 [17:18<21:06, 11.51s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 90 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 46%|████████████████████████████▏                                 | 91/200 [17:36<24:22, 13.42s/it] 46%|████████████████████████████▌                                 | 92/200 [17:56<28:04, 15.59s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 92 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 46%|████████████████████████████▊                                 | 93/200 [18:02<22:14, 12.48s/it] 47%|█████████████████████████████▏                                | 94/200 [18:04<16:34,  9.38s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 94 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 48%|█████████████████████████████▍                                | 95/200 [18:07<13:08,  7.51s/it] 48%|█████████████████████████████▊                                | 96/200 [18:28<20:02, 11.57s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 96 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 48%|██████████████████████████████                                | 97/200 [18:39<19:47, 11.53s/it] 49%|██████████████████████████████▍                               | 98/200 [18:41<14:31,  8.55s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 98 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 50%|██████████████████████████████▋                               | 99/200 [18:52<15:46,  9.37s/it] 50%|██████████████████████████████▌                              | 100/200 [19:00<14:52,  8.92s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 100 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 50%|██████████████████████████████▊                              | 101/200 [19:14<17:06, 10.37s/it] 51%|███████████████████████████████                              | 102/200 [19:19<14:35,  8.93s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 102 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 52%|███████████████████████████████▍                             | 103/200 [19:24<12:06,  7.48s/it] 52%|███████████████████████████████▋                             | 104/200 [19:34<13:16,  8.30s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 104 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 52%|████████████████████████████████                             | 105/200 [19:41<12:29,  7.89s/it] 53%|████████████████████████████████▎                            | 106/200 [20:01<18:09, 11.59s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 106 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 54%|████████████████████████████████▋                            | 107/200 [20:09<16:06, 10.40s/it] 54%|████████████████████████████████▉                            | 108/200 [20:17<15:17,  9.97s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 108 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 55%|█████████████████████████████████▏                           | 109/200 [20:25<13:55,  9.18s/it] 55%|█████████████████████████████████▌                           | 110/200 [20:46<19:02, 12.69s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 110 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 56%|█████████████████████████████████▊                           | 111/200 [21:00<19:41, 13.27s/it] 56%|██████████████████████████████████▏                          | 112/200 [21:20<22:16, 15.19s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 112 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 56%|██████████████████████████████████▍                          | 113/200 [21:34<21:24, 14.77s/it] 57%|██████████████████████████████████▊                          | 114/200 [21:37<16:10, 11.28s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 114 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 57%|███████████████████████████████████                          | 115/200 [21:44<14:09,  9.99s/it] 58%|███████████████████████████████████▍                         | 116/200 [21:58<15:30, 11.08s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 116 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 58%|███████████████████████████████████▋                         | 117/200 [22:09<15:39, 11.32s/it]
