Process ID: [2421853] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421853] | Loading data from ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421853] | Loading exist data from ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 0
   0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
   0%|▎                                                              | 1/200 [00:12<42:09, 12.71s/it]   1%|▋                                                              | 2/200 [00:19<30:26,  9.23s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 80%|█████████████████████████████████████████████████            | 161/200 [16:15<03:56,  6.08s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [16:22<04:07,  6.51s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 162 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [16:29<04:09,  6.74s/it] 82%|██████████████████████████████████████████████████           | 164/200 [16:36<04:03,  6.77s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 164 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [16:46<04:22,  7.51s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [16:55<04:31,  8.00s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 166 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [17:02<04:14,  7.72s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [17:07<03:43,  6.99s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 168 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [17:20<04:32,  8.80s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [17:30<04:34,  9.14s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 170 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [17:40<04:36,  9.55s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [17:45<03:44,  8.03s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 172 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [18:02<04:50, 10.77s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [18:10<04:15,  9.85s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 174 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [18:16<03:38,  8.75s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [18:22<03:07,  7.82s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 176 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [18:33<03:20,  8.74s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [18:40<03:06,  8.48s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 178 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [18:46<02:40,  7.64s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [18:50<02:12,  6.63s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 180 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [18:56<02:01,  6.39s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [19:07<02:20,  7.81s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 182 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [19:15<02:12,  7.78s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [19:23<02:06,  7.92s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 184 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [19:34<02:09,  8.65s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [19:40<01:49,  7.84s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 186 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [19:48<01:42,  7.90s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [19:59<01:46,  8.87s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 188 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [20:05<01:29,  8.17s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [20:13<01:20,  8.04s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 190 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [20:16<00:59,  6.56s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [20:22<00:50,  6.37s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 192 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [20:31<00:49,  7.12s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [20:40<00:46,  7.83s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 194 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [20:47<00:37,  7.59s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [20:57<00:32,  8.25s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 196 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [21:02<00:22,  7.34s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [21:13<00:16,  8.25s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 198 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [21:14<00:06,  6.02s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [21:15<00:00,  4.47s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [21:15<00:00,  6.38s/it]
Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 200 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
Process ID: [2457271] | Exit
Process ID: [2457271] | Loading data from ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 0 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
  0%|▎                                                              | 1/200 [00:02<08:40,  2.61s/it]  1%|▋                                                              | 2/200 [00:05<09:05,  2.75s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 2 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
  2%|▉                                                              | 3/200 [00:06<07:06,  2.17s/it]  2%|█▎                                                             | 4/200 [00:08<05:59,  1.84s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 4 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
  2%|█▌                                                             | 5/200 [00:08<04:36,  1.42s/it]  3%|█▉                                                             | 6/200 [00:12<06:26,  1.99s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 6 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
  4%|██▏                                                            | 7/200 [00:15<08:11,  2.55s/it]  4%|██▌                                                            | 8/200 [00:19<09:52,  3.09s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 8 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
  4%|██▊                                                            | 9/200 [00:21<08:28,  2.66s/it]  5%|███                                                           | 10/200 [00:22<06:32,  2.06s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 10 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
  6%|███▍                                                          | 11/200 [00:25<07:44,  2.46s/it]  6%|███▋                                                          | 12/200 [00:28<08:03,  2.57s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 12 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
  6%|████                                                          | 13/200 [00:31<08:45,  2.81s/it]  7%|████▎                                                         | 14/200 [00:35<09:07,  2.94s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 14 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
  8%|████▋                                                         | 15/200 [00:40<10:48,  3.51s/it]  8%|████▉                                                         | 16/200 [00:41<08:46,  2.86s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 16 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
  8%|█████▎                                                        | 17/200 [00:42<07:09,  2.35s/it]  9%|█████▌                                                        | 18/200 [00:46<08:29,  2.80s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 18 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 10%|█████▉                                                        | 19/200 [00:47<07:16,  2.41s/it] 10%|██████▏                                                       | 20/200 [00:50<07:41,  2.57s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 20 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 10%|██████▌                                                       | 21/200 [00:54<08:12,  2.75s/it] 11%|██████▊                                                       | 22/200 [00:54<06:19,  2.13s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 22 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 12%|███████▏                                                      | 23/200 [01:01<10:08,  3.44s/it] 12%|███████▍                                                      | 24/200 [01:06<11:50,  4.03s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 24 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 12%|███████▊                                                      | 25/200 [01:09<10:22,  3.55s/it] 13%|████████                                                      | 26/200 [01:12<10:18,  3.56s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 26 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 14%|████████▎                                                     | 27/200 [01:18<12:14,  4.25s/it] 14%|████████▋                                                     | 28/200 [01:21<11:10,  3.90s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 28 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 14%|████████▉                                                     | 29/200 [01:22<08:23,  2.94s/it] 15%|█████████▎                                                    | 30/200 [01:24<07:48,  2.76s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 30 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 16%|█████████▌                                                    | 31/200 [01:30<10:25,  3.70s/it] 16%|█████████▉                                                    | 32/200 [01:34<10:56,  3.91s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 32 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 16%|██████████▏                                                   | 33/200 [01:38<10:39,  3.83s/it] 17%|██████████▌                                                   | 34/200 [01:43<11:38,  4.21s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 34 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 18%|██████████▊                                                   | 35/200 [01:44<08:41,  3.16s/it] 18%|███████████▏                                                  | 36/200 [01:46<08:07,  2.97s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 36 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 18%|███████████▍                                                  | 37/200 [01:47<06:14,  2.30s/it] 19%|███████████▊                                                  | 38/200 [01:53<09:12,  3.41s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 38 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 20%|████████████                                                  | 39/200 [01:54<07:25,  2.77s/it] 20%|████████████▍                                                 | 40/200 [01:58<08:26,  3.17s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 40 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 20%|████████████▋                                                 | 41/200 [02:03<09:25,  3.55s/it] 21%|█████████████                                                 | 42/200 [02:07<09:58,  3.79s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 42 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 22%|█████████████▎                                                | 43/200 [02:09<07:58,  3.05s/it] 22%|█████████████▋                                                | 44/200 [02:12<07:51,  3.03s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 44 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 22%|█████████████▉                                                | 45/200 [02:13<06:29,  2.51s/it] 23%|██████████████▎                                               | 46/200 [02:15<06:11,  2.41s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 46 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 24%|██████████████▌                                               | 47/200 [02:21<08:57,  3.52s/it] 24%|██████████████▉                                               | 48/200 [02:25<09:11,  3.63s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 48 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 24%|███████████████▏                                              | 49/200 [02:27<08:12,  3.26s/it] 25%|███████████████▌                                              | 50/200 [02:32<09:25,  3.77s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 50 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 26%|███████████████▊                                              | 51/200 [02:33<07:20,  2.95s/it] 26%|████████████████                                              | 52/200 [02:35<06:36,  2.68s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 52 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 26%|████████████████▍                                             | 53/200 [02:39<07:05,  2.90s/it] 27%|████████████████▋                                             | 54/200 [02:43<08:01,  3.29s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 54 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 28%|█████████████████                                             | 55/200 [02:47<08:38,  3.57s/it] 28%|█████████████████▎                                            | 56/200 [02:50<08:11,  3.41s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 56 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 28%|█████████████████▋                                            | 57/200 [02:55<09:19,  3.91s/it] 29%|█████████████████▉                                            | 58/200 [03:00<09:41,  4.10s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 58 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 30%|██████████████████▎                                           | 59/200 [03:04<09:40,  4.12s/it] 30%|██████████████████▌                                           | 60/200 [03:16<14:44,  6.32s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 60 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 30%|██████████████████▉                                           | 61/200 [03:18<11:54,  5.14s/it] 31%|███████████████████▏                                          | 62/200 [03:22<10:49,  4.71s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 62 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 32%|███████████████████▌                                          | 63/200 [03:24<08:53,  3.89s/it] 32%|███████████████████▊                                          | 64/200 [03:26<08:04,  3.56s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 64 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 32%|████████████████████▏                                         | 65/200 [03:31<08:27,  3.76s/it] 33%|████████████████████▍                                         | 66/200 [03:31<06:18,  2.82s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 66 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 34%|████████████████████▊                                         | 67/200 [03:34<06:01,  2.71s/it] 34%|█████████████████████                                         | 68/200 [03:38<07:07,  3.24s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 68 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 34%|█████████████████████▍                                        | 69/200 [03:44<08:51,  4.06s/it] 35%|█████████████████████▋                                        | 70/200 [03:47<07:47,  3.60s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 70 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 36%|██████████████████████                                        | 71/200 [03:50<07:21,  3.43s/it] 36%|██████████████████████▎                                       | 72/200 [03:51<06:13,  2.92s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 72 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 36%|██████████████████████▋                                       | 73/200 [03:55<06:41,  3.16s/it] 37%|██████████████████████▉                                       | 74/200 [04:00<07:29,  3.57s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 74 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 38%|███████████████████████▎                                      | 75/200 [04:01<05:56,  2.85s/it] 38%|███████████████████████▌                                      | 76/200 [04:05<06:51,  3.32s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 76 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 38%|███████████████████████▊                                      | 77/200 [04:06<05:12,  2.54s/it] 39%|████████████████████████▏                                     | 78/200 [04:11<06:49,  3.35s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 78 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 40%|████████████████████████▍                                     | 79/200 [04:14<06:07,  3.04s/it] 40%|████████████████████████▊                                     | 80/200 [04:17<06:04,  3.04s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 80 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 40%|█████████████████████████                                     | 81/200 [04:19<05:31,  2.79s/it] 41%|█████████████████████████▍                                    | 82/200 [04:20<04:18,  2.19s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 82 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 42%|█████████████████████████▋                                    | 83/200 [04:20<03:27,  1.78s/it] 42%|██████████████████████████                                    | 84/200 [04:23<03:39,  1.89s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 84 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 42%|██████████████████████████▎                                   | 85/200 [04:28<05:48,  3.03s/it] 43%|██████████████████████████▋                                   | 86/200 [04:40<10:47,  5.68s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 86 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 44%|██████████████████████████▉                                   | 87/200 [04:43<08:55,  4.74s/it] 44%|███████████████████████████▎                                  | 88/200 [04:46<08:01,  4.30s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 88 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 44%|███████████████████████████▌                                  | 89/200 [04:50<07:59,  4.32s/it] 45%|███████████████████████████▉                                  | 90/200 [04:51<06:06,  3.33s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 90 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 46%|████████████████████████████▏                                 | 91/200 [04:55<06:11,  3.40s/it] 46%|████████████████████████████▌                                 | 92/200 [04:56<04:59,  2.77s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 92 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 46%|████████████████████████████▊                                 | 93/200 [04:59<04:40,  2.62s/it] 47%|█████████████████████████████▏                                | 94/200 [05:02<04:50,  2.74s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 94 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 48%|█████████████████████████████▍                                | 95/200 [05:05<04:57,  2.84s/it] 48%|█████████████████████████████▊                                | 96/200 [05:10<06:26,  3.71s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 96 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 48%|██████████████████████████████                                | 97/200 [05:13<05:46,  3.36s/it] 49%|██████████████████████████████▍                               | 98/200 [05:17<06:17,  3.70s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 98 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 50%|██████████████████████████████▋                               | 99/200 [05:18<04:43,  2.81s/it] 50%|██████████████████████████████▌                              | 100/200 [05:19<03:37,  2.17s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 100 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 50%|██████████████████████████████▊                              | 101/200 [05:22<04:01,  2.44s/it] 51%|███████████████████████████████                              | 102/200 [05:25<04:20,  2.65s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 102 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 52%|███████████████████████████████▍                             | 103/200 [05:26<03:21,  2.07s/it] 52%|███████████████████████████████▋                             | 104/200 [05:28<03:30,  2.19s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 104 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 52%|████████████████████████████████                             | 105/200 [05:29<02:45,  1.74s/it] 53%|████████████████████████████████▎                            | 106/200 [05:31<02:47,  1.79s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 106 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 54%|████████████████████████████████▋                            | 107/200 [05:36<04:17,  2.77s/it] 54%|████████████████████████████████▉                            | 108/200 [05:43<06:22,  4.15s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 108 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 55%|█████████████████████████████████▏                           | 109/200 [05:46<05:34,  3.68s/it] 55%|█████████████████████████████████▌                           | 110/200 [05:49<05:28,  3.65s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 110 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 56%|█████████████████████████████████▊                           | 111/200 [05:54<05:40,  3.83s/it] 56%|██████████████████████████████████▏                          | 112/200 [06:00<06:38,  4.53s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 112 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 56%|██████████████████████████████████▍                          | 113/200 [06:09<08:27,  5.84s/it] 57%|██████████████████████████████████▊                          | 114/200 [06:12<07:22,  5.14s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 114 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 57%|███████████████████████████████████                          | 115/200 [06:14<06:01,  4.25s/it] 58%|███████████████████████████████████▍                         | 116/200 [06:18<05:48,  4.15s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 116 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
 58%|███████████████████████████████████▋                         | 117/200 [06:23<05:49,  4.22s/it] 59%|███████████████████████████████████▉                         | 118/200 [06:27<05:37,  4.11s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 118 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Open-Domain.json
