Process ID: [2421855] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421855] | Loading data from ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421855] | Loading exist data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 14
   0%|                                                                       | 0/186 [00:00<?, ?it/s]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
   1%|▎                                                              | 1/186 [00:10<31:37, 10.26s/it]   1%|▋                                                              | 2/186 [00:24<38:13, 12.46s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 78%|███████████████████████████████████████████████▌             | 152/195 [12:32<02:42,  3.77s/it] 78%|███████████████████████████████████████████████▊             | 153/195 [12:39<03:27,  4.93s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 158 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 79%|████████████████████████████████████████████████▏            | 154/195 [12:45<03:29,  5.11s/it] 79%|████████████████████████████████████████████████▍            | 155/195 [13:02<05:47,  8.69s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 160 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 80%|████████████████████████████████████████████████▊            | 156/195 [13:09<05:16,  8.13s/it] 81%|█████████████████████████████████████████████████            | 157/195 [13:17<05:12,  8.23s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 162 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 81%|█████████████████████████████████████████████████▍           | 158/195 [13:23<04:38,  7.53s/it] 82%|█████████████████████████████████████████████████▋           | 159/195 [13:25<03:36,  6.01s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 164 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 82%|██████████████████████████████████████████████████           | 160/195 [13:33<03:43,  6.39s/it] 83%|██████████████████████████████████████████████████▎          | 161/195 [13:38<03:24,  6.02s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 166 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 83%|██████████████████████████████████████████████████▋          | 162/195 [13:44<03:22,  6.13s/it] 84%|██████████████████████████████████████████████████▉          | 163/195 [13:52<03:26,  6.46s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 168 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 84%|███████████████████████████████████████████████████▎         | 164/195 [13:57<03:09,  6.12s/it] 85%|███████████████████████████████████████████████████▌         | 165/195 [14:14<04:42,  9.42s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 170 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 85%|███████████████████████████████████████████████████▉         | 166/195 [14:19<03:53,  8.06s/it] 86%|████████████████████████████████████████████████████▏        | 167/195 [14:21<02:59,  6.41s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 172 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 86%|████████████████████████████████████████████████████▌        | 168/195 [14:28<02:55,  6.51s/it] 87%|████████████████████████████████████████████████████▊        | 169/195 [14:33<02:33,  5.89s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 174 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 87%|█████████████████████████████████████████████████████▏       | 170/195 [14:38<02:27,  5.88s/it] 88%|█████████████████████████████████████████████████████▍       | 171/195 [14:48<02:48,  7.01s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 176 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 88%|█████████████████████████████████████████████████████▊       | 172/195 [14:54<02:30,  6.54s/it] 89%|██████████████████████████████████████████████████████       | 173/195 [14:55<01:50,  5.00s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 178 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 89%|██████████████████████████████████████████████████████▍      | 174/195 [15:03<02:01,  5.77s/it] 90%|██████████████████████████████████████████████████████▋      | 175/195 [15:09<02:01,  6.10s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 180 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 90%|███████████████████████████████████████████████████████      | 176/195 [15:14<01:47,  5.68s/it] 91%|███████████████████████████████████████████████████████▎     | 177/195 [15:20<01:42,  5.69s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 182 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 91%|███████████████████████████████████████████████████████▋     | 178/195 [15:22<01:19,  4.69s/it] 92%|███████████████████████████████████████████████████████▉     | 179/195 [15:37<02:01,  7.60s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 184 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 92%|████████████████████████████████████████████████████████▎    | 180/195 [15:45<01:59,  7.96s/it] 93%|████████████████████████████████████████████████████████▌    | 181/195 [15:51<01:41,  7.26s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 186 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 93%|████████████████████████████████████████████████████████▉    | 182/195 [15:57<01:30,  6.99s/it] 94%|█████████████████████████████████████████████████████████▏   | 183/195 [16:15<02:03, 10.30s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 188 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 94%|█████████████████████████████████████████████████████████▌   | 184/195 [16:23<01:46,  9.65s/it] 95%|█████████████████████████████████████████████████████████▊   | 185/195 [16:24<01:09,  7.00s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 190 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 95%|██████████████████████████████████████████████████████████▏  | 186/195 [16:26<00:48,  5.36s/it] 96%|██████████████████████████████████████████████████████████▍  | 187/195 [16:35<00:51,  6.45s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 192 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 96%|██████████████████████████████████████████████████████████▊  | 188/195 [16:39<00:41,  5.91s/it] 97%|███████████████████████████████████████████████████████████  | 189/195 [16:47<00:38,  6.36s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 194 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 97%|███████████████████████████████████████████████████████████▍ | 190/195 [16:53<00:31,  6.30s/it] 98%|███████████████████████████████████████████████████████████▋ | 191/195 [17:07<00:33,  8.48s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 196 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 98%|████████████████████████████████████████████████████████████ | 192/195 [17:12<00:22,  7.63s/it] 99%|████████████████████████████████████████████████████████████▎| 193/195 [17:19<00:14,  7.46s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 198 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 99%|████████████████████████████████████████████████████████████▋| 194/195 [17:31<00:08,  8.83s/it]100%|█████████████████████████████████████████████████████████████| 195/195 [17:32<00:00,  6.45s/it]100%|█████████████████████████████████████████████████████████████| 195/195 [17:32<00:00,  5.40s/it]
Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 200 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
Process ID: [2457273] | Exit
Process ID: [2457273] | Loading data from ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 0 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
  0%|▎                                                              | 1/200 [00:03<10:30,  3.17s/it]  1%|▋                                                              | 2/200 [00:04<06:21,  1.93s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 2 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
  2%|▉                                                              | 3/200 [00:05<05:27,  1.66s/it]  2%|█▎                                                             | 4/200 [00:06<04:41,  1.44s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 4 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
  2%|█▌                                                             | 5/200 [00:10<07:57,  2.45s/it]  3%|█▉                                                             | 6/200 [00:13<08:24,  2.60s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 6 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
  4%|██▏                                                            | 7/200 [00:14<06:21,  1.98s/it]  4%|██▌                                                            | 8/200 [00:19<09:26,  2.95s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 8 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
  4%|██▊                                                            | 9/200 [00:21<08:02,  2.53s/it]  5%|███                                                           | 10/200 [00:22<06:42,  2.12s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 10 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
  6%|███▍                                                          | 11/200 [00:23<05:27,  1.73s/it]  6%|███▋                                                          | 12/200 [00:25<06:00,  1.92s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 12 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
  6%|████                                                          | 13/200 [00:27<06:27,  2.07s/it]  7%|████▎                                                         | 14/200 [00:30<06:27,  2.08s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 14 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
  8%|████▋                                                         | 15/200 [00:33<07:59,  2.59s/it]  8%|████▉                                                         | 16/200 [00:35<07:16,  2.37s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 16 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
  8%|█████▎                                                        | 17/200 [00:38<07:59,  2.62s/it]  9%|█████▌                                                        | 18/200 [00:42<08:49,  2.91s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 18 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 10%|█████▉                                                        | 19/200 [00:43<07:12,  2.39s/it] 10%|██████▏                                                       | 20/200 [00:46<07:24,  2.47s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 20 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 10%|██████▌                                                       | 21/200 [00:49<08:14,  2.76s/it] 11%|██████▊                                                       | 22/200 [00:54<09:51,  3.32s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 22 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 12%|███████▏                                                      | 23/200 [00:58<10:42,  3.63s/it] 12%|███████▍                                                      | 24/200 [00:59<08:03,  2.75s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 24 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 12%|███████▊                                                      | 25/200 [01:01<07:04,  2.42s/it] 13%|████████                                                      | 26/200 [01:03<06:48,  2.35s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 26 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 14%|████████▎                                                     | 27/200 [01:05<06:39,  2.31s/it] 14%|████████▋                                                     | 28/200 [01:08<07:15,  2.53s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 28 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 14%|████████▉                                                     | 29/200 [01:09<06:01,  2.12s/it] 15%|█████████▎                                                    | 30/200 [01:11<05:50,  2.06s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 30 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 16%|█████████▌                                                    | 31/200 [01:13<05:40,  2.01s/it] 16%|█████████▉                                                    | 32/200 [01:16<06:26,  2.30s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 32 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 16%|██████████▏                                                   | 33/200 [01:20<07:53,  2.84s/it] 17%|██████████▌                                                   | 34/200 [01:25<09:16,  3.35s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 34 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 18%|██████████▊                                                   | 35/200 [01:27<08:01,  2.92s/it] 18%|███████████▏                                                  | 36/200 [01:28<06:26,  2.36s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 36 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 18%|███████████▍                                                  | 37/200 [01:29<05:19,  1.96s/it] 19%|███████████▊                                                  | 38/200 [01:32<06:15,  2.32s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 38 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 20%|████████████                                                  | 39/200 [01:35<06:59,  2.60s/it] 20%|████████████▍                                                 | 40/200 [01:39<07:50,  2.94s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 40 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 20%|████████████▋                                                 | 41/200 [01:40<06:05,  2.30s/it] 21%|█████████████                                                 | 42/200 [01:40<04:50,  1.84s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 42 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 22%|█████████████▎                                                | 43/200 [01:41<03:54,  1.49s/it] 22%|█████████████▋                                                | 44/200 [01:43<04:39,  1.79s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 44 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 22%|█████████████▉                                                | 45/200 [01:44<03:51,  1.50s/it] 23%|██████████████▎                                               | 46/200 [01:52<08:25,  3.28s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 46 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 24%|██████████████▌                                               | 47/200 [01:55<08:17,  3.25s/it] 24%|██████████████▉                                               | 48/200 [01:59<08:55,  3.53s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 48 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 24%|███████████████▏                                              | 49/200 [02:01<07:22,  2.93s/it] 25%|███████████████▌                                              | 50/200 [02:05<08:32,  3.42s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 50 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 26%|███████████████▊                                              | 51/200 [02:08<07:57,  3.20s/it] 26%|████████████████                                              | 52/200 [02:11<07:33,  3.07s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 52 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 26%|████████████████▍                                             | 53/200 [02:13<07:02,  2.87s/it] 27%|████████████████▋                                             | 54/200 [02:16<06:58,  2.87s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 54 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 28%|█████████████████                                             | 55/200 [02:19<06:44,  2.79s/it] 28%|█████████████████▎                                            | 56/200 [02:23<07:36,  3.17s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 56 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 28%|█████████████████▋                                            | 57/200 [02:26<08:01,  3.37s/it] 29%|█████████████████▉                                            | 58/200 [02:33<10:22,  4.38s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 58 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 30%|██████████████████▎                                           | 59/200 [02:34<07:53,  3.36s/it] 30%|██████████████████▌                                           | 60/200 [02:37<07:10,  3.08s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 60 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 30%|██████████████████▉                                           | 61/200 [02:42<08:35,  3.71s/it] 31%|███████████████████▏                                          | 62/200 [02:50<11:29,  5.00s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 62 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 32%|███████████████████▌                                          | 63/200 [02:51<08:32,  3.74s/it] 32%|███████████████████▊                                          | 64/200 [02:55<08:47,  3.88s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 64 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 32%|████████████████████▏                                         | 65/200 [03:00<09:29,  4.22s/it] 33%|████████████████████▍                                         | 66/200 [03:00<07:01,  3.14s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 66 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 34%|████████████████████▊                                         | 67/200 [03:03<06:26,  2.91s/it] 34%|█████████████████████                                         | 68/200 [03:06<06:43,  3.05s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 68 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 34%|█████████████████████▍                                        | 69/200 [03:17<11:29,  5.26s/it] 35%|█████████████████████▋                                        | 70/200 [03:19<09:42,  4.48s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 70 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 36%|██████████████████████                                        | 71/200 [03:26<11:03,  5.14s/it] 36%|██████████████████████▎                                       | 72/200 [03:28<09:11,  4.31s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 72 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 36%|██████████████████████▋                                       | 73/200 [03:31<08:13,  3.88s/it] 37%|██████████████████████▉                                       | 74/200 [03:35<07:51,  3.74s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 74 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 38%|███████████████████████▎                                      | 75/200 [03:35<05:51,  2.81s/it] 38%|███████████████████████▌                                      | 76/200 [03:36<04:34,  2.22s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 76 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 38%|███████████████████████▊                                      | 77/200 [03:38<04:18,  2.10s/it] 39%|████████████████████████▏                                     | 78/200 [03:39<03:46,  1.86s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 78 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 40%|████████████████████████▍                                     | 79/200 [03:40<03:22,  1.68s/it] 40%|████████████████████████▊                                     | 80/200 [03:41<02:55,  1.46s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 80 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 40%|█████████████████████████                                     | 81/200 [03:42<02:30,  1.26s/it] 41%|█████████████████████████▍                                    | 82/200 [03:47<04:18,  2.19s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 82 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 42%|█████████████████████████▋                                    | 83/200 [03:53<06:29,  3.33s/it] 42%|██████████████████████████                                    | 84/200 [03:57<07:00,  3.62s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 84 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 42%|██████████████████████████▎                                   | 85/200 [04:01<07:22,  3.85s/it] 43%|██████████████████████████▋                                   | 86/200 [04:04<06:57,  3.66s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 86 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 44%|██████████████████████████▉                                   | 87/200 [04:08<06:53,  3.66s/it] 44%|███████████████████████████▎                                  | 88/200 [04:23<12:55,  6.93s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 88 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 44%|███████████████████████████▌                                  | 89/200 [04:25<10:25,  5.63s/it] 45%|███████████████████████████▉                                  | 90/200 [04:27<08:27,  4.62s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 90 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 46%|████████████████████████████▏                                 | 91/200 [04:31<07:32,  4.15s/it] 46%|████████████████████████████▌                                 | 92/200 [04:31<05:38,  3.14s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 92 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 46%|████████████████████████████▊                                 | 93/200 [04:35<05:53,  3.30s/it] 47%|█████████████████████████████▏                                | 94/200 [04:36<04:42,  2.66s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 94 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 48%|█████████████████████████████▍                                | 95/200 [04:41<05:35,  3.19s/it] 48%|█████████████████████████████▊                                | 96/200 [04:43<05:18,  3.06s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 96 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 48%|██████████████████████████████                                | 97/200 [04:46<05:05,  2.96s/it] 49%|██████████████████████████████▍                               | 98/200 [04:50<05:28,  3.22s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 98 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 50%|██████████████████████████████▋                               | 99/200 [04:51<04:09,  2.47s/it] 50%|██████████████████████████████▌                              | 100/200 [04:52<03:47,  2.27s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 100 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 50%|██████████████████████████████▊                              | 101/200 [04:56<04:09,  2.52s/it] 51%|███████████████████████████████                              | 102/200 [05:07<08:16,  5.07s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 102 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 52%|███████████████████████████████▍                             | 103/200 [05:08<06:26,  3.98s/it] 52%|███████████████████████████████▋                             | 104/200 [05:12<06:32,  4.09s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 104 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 52%|████████████████████████████████                             | 105/200 [05:14<05:18,  3.36s/it] 53%|████████████████████████████████▎                            | 106/200 [05:17<05:19,  3.40s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 106 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 54%|████████████████████████████████▋                            | 107/200 [05:19<04:31,  2.92s/it] 54%|████████████████████████████████▉                            | 108/200 [05:25<05:52,  3.84s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 108 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 55%|█████████████████████████████████▏                           | 109/200 [05:28<05:26,  3.59s/it] 55%|█████████████████████████████████▌                           | 110/200 [05:32<05:26,  3.63s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 110 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 56%|█████████████████████████████████▊                           | 111/200 [05:37<05:48,  3.92s/it] 56%|██████████████████████████████████▏                          | 112/200 [05:37<04:21,  2.97s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 112 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 56%|██████████████████████████████████▍                          | 113/200 [05:41<04:27,  3.07s/it] 57%|██████████████████████████████████▊                          | 114/200 [05:41<03:25,  2.39s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 114 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 57%|███████████████████████████████████                          | 115/200 [05:44<03:29,  2.47s/it] 58%|███████████████████████████████████▍                         | 116/200 [05:48<04:09,  2.97s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 116 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 58%|███████████████████████████████████▋                         | 117/200 [05:52<04:28,  3.23s/it] 59%|███████████████████████████████████▉                         | 118/200 [05:55<04:24,  3.23s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 118 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
