Process ID: [2421854] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/refine-q/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421854] | Loading data from ./prompt_response/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421854] | Loading exist data from ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json | Total 2
  0%|                                                                       | 0/198 [00:00<?, ?it/s]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
  1%|▎                                                              | 1/198 [00:09<32:35,  9.93s/it]  1%|▋                                                              | 2/198 [00:20<33:19, 10.20s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 4 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 44%|███████████████████████████▌                                  | 89/200 [21:12<35:02, 18.94s/it] 45%|███████████████████████████▉                                  | 90/200 [21:21<29:39, 16.18s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 90 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 46%|████████████████████████████▏                                 | 91/200 [21:29<24:58, 13.75s/it] 46%|████████████████████████████▌                                 | 92/200 [21:41<23:28, 13.05s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 92 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 46%|████████████████████████████▊                                 | 93/200 [21:52<22:24, 12.57s/it] 47%|█████████████████████████████▏                                | 94/200 [22:13<26:26, 14.96s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 94 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 48%|█████████████████████████████▍                                | 95/200 [22:21<22:40, 12.95s/it] 48%|█████████████████████████████▊                                | 96/200 [22:38<24:27, 14.11s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 96 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 48%|██████████████████████████████                                | 97/200 [22:48<22:17, 12.99s/it] 49%|██████████████████████████████▍                               | 98/200 [23:00<21:14, 12.49s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 98 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 50%|██████████████████████████████▋                               | 99/200 [23:11<20:24, 12.12s/it] 50%|██████████████████████████████▌                              | 100/200 [23:34<25:41, 15.41s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 100 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 50%|██████████████████████████████▊                              | 101/200 [24:01<31:08, 18.87s/it] 51%|███████████████████████████████                              | 102/200 [24:18<29:51, 18.28s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 102 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 52%|███████████████████████████████▍                             | 103/200 [24:29<26:18, 16.27s/it] 52%|███████████████████████████████▋                             | 104/200 [24:48<26:59, 16.87s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 104 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 52%|████████████████████████████████                             | 105/200 [25:00<24:26, 15.43s/it] 53%|████████████████████████████████▎                            | 106/200 [25:17<25:14, 16.11s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 106 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 54%|████████████████████████████████▋                            | 107/200 [25:49<31:57, 20.62s/it] 54%|████████████████████████████████▉                            | 108/200 [26:13<33:36, 21.92s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 108 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 55%|█████████████████████████████████▏                           | 109/200 [26:24<27:53, 18.39s/it] 55%|█████████████████████████████████▌                           | 110/200 [26:38<25:49, 17.21s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 110 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 56%|█████████████████████████████████▊                           | 111/200 [27:00<27:37, 18.62s/it] 56%|██████████████████████████████████▏                          | 112/200 [27:14<25:11, 17.17s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 112 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 56%|██████████████████████████████████▍                          | 113/200 [27:38<28:05, 19.37s/it] 57%|██████████████████████████████████▊                          | 114/200 [27:47<23:07, 16.13s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 114 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 57%|███████████████████████████████████                          | 115/200 [28:08<24:58, 17.63s/it] 58%|███████████████████████████████████▍                         | 116/200 [28:19<21:51, 15.62s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 116 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 58%|███████████████████████████████████▋                         | 117/200 [28:38<22:54, 16.56s/it] 59%|███████████████████████████████████▉                         | 118/200 [29:07<27:56, 20.44s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 118 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 60%|████████████████████████████████████▎                        | 119/200 [29:21<24:58, 18.50s/it] 60%|████████████████████████████████████▌                        | 120/200 [29:33<22:01, 16.52s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 120 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 60%|████████████████████████████████████▉                        | 121/200 [29:45<20:00, 15.20s/it] 61%|█████████████████████████████████████▏                       | 122/200 [30:10<23:25, 18.02s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 122 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 62%|█████████████████████████████████████▌                       | 123/200 [30:22<21:03, 16.41s/it] 62%|█████████████████████████████████████▊                       | 124/200 [30:34<19:04, 15.05s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 124 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 62%|██████████████████████████████████████▏                      | 125/200 [31:55<43:18, 34.64s/it] 63%|██████████████████████████████████████▍                      | 126/200 [32:10<35:34, 28.84s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 126 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 64%|██████████████████████████████████████▋                      | 127/200 [32:23<29:21, 24.13s/it] 64%|███████████████████████████████████████                      | 128/200 [32:38<25:27, 21.22s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 128 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 64%|███████████████████████████████████████▎                     | 129/200 [32:46<20:44, 17.53s/it] 65%|███████████████████████████████████████▋                     | 130/200 [32:59<18:47, 16.11s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 130 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 66%|███████████████████████████████████████▉                     | 131/200 [33:13<17:44, 15.42s/it] 66%|████████████████████████████████████████▎                    | 132/200 [33:30<17:58, 15.85s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 132 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 66%|████████████████████████████████████████▌                    | 133/200 [33:47<17:58, 16.10s/it] 67%|████████████████████████████████████████▊                    | 134/200 [33:56<15:23, 14.00s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 134 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 68%|█████████████████████████████████████████▏                   | 135/200 [34:04<13:23, 12.37s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [34:13<12:11, 11.42s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 136 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 68%|█████████████████████████████████████████▊                   | 137/200 [34:25<12:10, 11.60s/it] 69%|██████████████████████████████████████████                   | 138/200 [34:38<12:16, 11.87s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 138 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 70%|██████████████████████████████████████████▍                  | 139/200 [34:55<13:33, 13.34s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [35:03<11:49, 11.83s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 140 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 70%|███████████████████████████████████████████                  | 141/200 [35:21<13:23, 13.62s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [35:34<13:05, 13.55s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 142 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 72%|███████████████████████████████████████████▌                 | 143/200 [36:14<20:17, 21.37s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [36:27<17:36, 18.87s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 144 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 72%|████████████████████████████████████████████▏                | 145/200 [36:37<15:00, 16.38s/it] 73%|████████████████████████████████████████████▌                | 146/200 [37:06<18:09, 20.17s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 146 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 74%|████████████████████████████████████████████▊                | 147/200 [37:34<19:46, 22.38s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [37:46<16:43, 19.31s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 148 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 74%|█████████████████████████████████████████████▍               | 149/200 [37:56<13:53, 16.33s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [38:06<12:09, 14.58s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 150 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 76%|██████████████████████████████████████████████               | 151/200 [38:27<13:32, 16.58s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [38:38<11:45, 14.70s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 152 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 76%|██████████████████████████████████████████████▋              | 153/200 [38:46<10:04, 12.86s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [39:07<11:40, 15.22s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 154 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 78%|███████████████████████████████████████████████▎             | 155/200 [39:24<11:49, 15.77s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [39:39<11:23, 15.54s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 156 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 78%|███████████████████████████████████████████████▉             | 157/200 [39:58<11:52, 16.57s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [40:14<11:29, 16.42s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 158 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 80%|████████████████████████████████████████████████▍            | 159/200 [40:26<10:19, 15.11s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [40:46<11:00, 16.51s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 160 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 80%|█████████████████████████████████████████████████            | 161/200 [40:57<09:39, 14.86s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [41:14<09:45, 15.41s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 162 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [41:32<10:03, 16.31s/it] 82%|██████████████████████████████████████████████████           | 164/200 [41:57<11:24, 19.01s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 164 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [42:05<09:05, 15.60s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [42:31<10:33, 18.62s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 166 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [42:42<09:04, 16.50s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [43:05<09:49, 18.43s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 168 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [43:18<08:42, 16.87s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [43:34<08:17, 16.58s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 170 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [43:48<07:37, 15.78s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [44:08<07:54, 16.94s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 172 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [44:32<08:35, 19.09s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [44:45<07:31, 17.37s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 174 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [44:55<06:16, 15.05s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [45:08<05:45, 14.42s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 176 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [45:22<05:27, 14.23s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [45:47<06:29, 17.70s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 178 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [45:57<05:18, 15.18s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [46:09<04:49, 14.47s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 180 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [46:29<05:01, 15.88s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [46:45<04:49, 16.10s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 182 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [47:04<04:45, 16.77s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [47:20<04:27, 16.70s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 184 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [47:54<05:25, 21.73s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [48:20<05:22, 23.05s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 186 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [48:35<04:27, 20.59s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [48:51<03:50, 19.20s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 188 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [49:24<04:19, 23.62s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [49:42<03:38, 21.86s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 190 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [49:59<03:02, 20.25s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [50:10<02:19, 17.44s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 192 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [50:42<02:32, 21.83s/it]Error: 该令牌额度已用尽 (request id: 2023121815220290495021445MHFJFC)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218152217787555616Rz1Z6IuV)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218152224598256633aJCfO3f7)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218152239257920739KK9MIhNn)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218152249642693721RUu3WUUp)
Retrying...
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [51:35<01:52, 16.04s/it]
Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 193 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
Process ID: [2421854] | Exit
Traceback (most recent call last):
  File "/home/chenjie/Project/fact_hallu/prompt_task_new/fact.py", line 92, in <module>
    factbot.generate_facts(
  File "/home/chenjie/Project/fact_hallu/prompt_task_new/fact.py", line 57, in generate_facts
    ans = complete_func(query, self.assist_model, **kwargs)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/chenjie/Project/fact_hallu/prompt_task_new/response.py", line 301, in openai_complete
    raise ValueError("Failed to generate response")
ValueError: Failed to generate response
