Process ID: [2421852] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421852] | Loading data from ./prompt_response/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421852] | Loading exist data from ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:16<55:44, 16.81s/it]  1%|▋                                                              | 2/200 [00:23<35:31, 10.77s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 38%|███████████████████████▊                                      | 77/200 [16:54<24:36, 12.00s/it] 39%|████████████████████████▏                                     | 78/200 [17:02<22:11, 10.91s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 78 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 40%|████████████████████████▍                                     | 79/200 [17:04<16:21,  8.11s/it] 40%|████████████████████████▊                                     | 80/200 [17:14<17:40,  8.83s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 80 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 40%|█████████████████████████                                     | 81/200 [17:25<18:23,  9.27s/it] 41%|█████████████████████████▍                                    | 82/200 [17:35<19:01,  9.67s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 82 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 42%|█████████████████████████▋                                    | 83/200 [17:49<21:16, 10.91s/it] 42%|██████████████████████████                                    | 84/200 [18:24<34:55, 18.06s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 84 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 42%|██████████████████████████▎                                   | 85/200 [18:31<28:14, 14.73s/it] 43%|██████████████████████████▋                                   | 86/200 [18:42<26:04, 13.72s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 86 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 44%|██████████████████████████▉                                   | 87/200 [18:44<19:00, 10.09s/it] 44%|███████████████████████████▎                                  | 88/200 [19:00<22:16, 11.93s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 88 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 44%|███████████████████████████▌                                  | 89/200 [19:09<20:28, 11.06s/it] 45%|███████████████████████████▉                                  | 90/200 [19:21<20:48, 11.35s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 90 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 46%|████████████████████████████▏                                 | 91/200 [19:29<18:46, 10.33s/it] 46%|████████████████████████████▌                                 | 92/200 [19:39<18:41, 10.39s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 92 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 46%|████████████████████████████▊                                 | 93/200 [19:51<19:06, 10.71s/it] 47%|█████████████████████████████▏                                | 94/200 [20:03<19:47, 11.20s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 94 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 48%|█████████████████████████████▍                                | 95/200 [20:15<19:44, 11.28s/it] 48%|█████████████████████████████▊                                | 96/200 [20:36<24:42, 14.25s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 96 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 48%|██████████████████████████████                                | 97/200 [20:45<21:51, 12.73s/it] 49%|██████████████████████████████▍                               | 98/200 [20:46<15:38,  9.21s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 98 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 50%|██████████████████████████████▋                               | 99/200 [21:09<22:33, 13.40s/it] 50%|██████████████████████████████▌                              | 100/200 [21:19<20:41, 12.41s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 100 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 50%|██████████████████████████████▊                              | 101/200 [21:30<19:34, 11.86s/it] 51%|███████████████████████████████                              | 102/200 [21:47<21:44, 13.31s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 102 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 52%|███████████████████████████████▍                             | 103/200 [22:00<21:26, 13.27s/it] 52%|███████████████████████████████▋                             | 104/200 [22:13<21:01, 13.14s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 104 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 52%|████████████████████████████████                             | 105/200 [22:24<19:58, 12.61s/it] 53%|████████████████████████████████▎                            | 106/200 [22:42<22:19, 14.25s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 106 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 54%|████████████████████████████████▋                            | 107/200 [22:55<21:17, 13.74s/it] 54%|████████████████████████████████▉                            | 108/200 [23:10<21:45, 14.19s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 108 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 55%|█████████████████████████████████▏                           | 109/200 [23:20<19:34, 12.90s/it] 55%|█████████████████████████████████▌                           | 110/200 [23:31<18:25, 12.29s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 110 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 56%|█████████████████████████████████▊                           | 111/200 [23:44<18:40, 12.59s/it] 56%|██████████████████████████████████▏                          | 112/200 [23:45<13:21,  9.11s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 112 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 56%|██████████████████████████████████▍                          | 113/200 [24:00<15:43, 10.84s/it] 57%|██████████████████████████████████▊                          | 114/200 [24:22<20:15, 14.13s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 114 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 57%|███████████████████████████████████                          | 115/200 [24:34<19:25, 13.71s/it] 58%|███████████████████████████████████▍                         | 116/200 [24:43<17:08, 12.24s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 116 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 58%|███████████████████████████████████▋                         | 117/200 [24:56<17:09, 12.40s/it] 59%|███████████████████████████████████▉                         | 118/200 [25:21<22:02, 16.13s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 118 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 60%|████████████████████████████████████▎                        | 119/200 [25:39<22:32, 16.70s/it] 60%|████████████████████████████████████▌                        | 120/200 [25:52<20:51, 15.65s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 120 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 60%|████████████████████████████████████▉                        | 121/200 [26:03<18:57, 14.40s/it] 61%|█████████████████████████████████████▏                       | 122/200 [26:17<18:24, 14.15s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 122 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 62%|█████████████████████████████████████▌                       | 123/200 [26:31<18:02, 14.06s/it] 62%|█████████████████████████████████████▊                       | 124/200 [26:32<12:51, 10.15s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 124 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 62%|██████████████████████████████████████▏                      | 125/200 [26:42<12:37, 10.10s/it] 63%|██████████████████████████████████████▍                      | 126/200 [26:52<12:31, 10.15s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 126 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 64%|██████████████████████████████████████▋                      | 127/200 [27:05<13:20, 10.97s/it] 64%|███████████████████████████████████████                      | 128/200 [27:16<12:59, 10.82s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 128 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 64%|███████████████████████████████████████▎                     | 129/200 [27:25<12:22, 10.46s/it] 65%|███████████████████████████████████████▋                     | 130/200 [27:34<11:37,  9.96s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 130 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 66%|███████████████████████████████████████▉                     | 131/200 [27:53<14:28, 12.58s/it] 66%|████████████████████████████████████████▎                    | 132/200 [28:06<14:29, 12.79s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 132 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 66%|████████████████████████████████████████▌                    | 133/200 [28:16<13:15, 11.87s/it] 67%|████████████████████████████████████████▊                    | 134/200 [28:22<11:20, 10.31s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 134 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 68%|█████████████████████████████████████████▏                   | 135/200 [28:33<11:14, 10.38s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [28:48<12:36, 11.82s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 136 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 68%|█████████████████████████████████████████▊                   | 137/200 [29:04<13:35, 12.95s/it] 69%|██████████████████████████████████████████                   | 138/200 [29:15<12:55, 12.52s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 138 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 70%|██████████████████████████████████████████▍                  | 139/200 [29:31<13:41, 13.46s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [29:41<12:21, 12.36s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 140 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 70%|███████████████████████████████████████████                  | 141/200 [29:56<13:02, 13.27s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [30:08<12:23, 12.82s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 142 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 72%|███████████████████████████████████████████▌                 | 143/200 [30:21<12:25, 13.08s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [30:39<13:33, 14.53s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 144 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 72%|████████████████████████████████████████████▏                | 145/200 [30:59<14:43, 16.06s/it] 73%|████████████████████████████████████████████▌                | 146/200 [31:09<12:42, 14.12s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 146 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 74%|████████████████████████████████████████████▊                | 147/200 [31:21<11:57, 13.54s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [31:35<11:56, 13.79s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 148 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 74%|█████████████████████████████████████████████▍               | 149/200 [31:46<10:55, 12.85s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [32:03<11:46, 14.12s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 150 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 76%|██████████████████████████████████████████████               | 151/200 [32:12<10:24, 12.74s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [32:26<10:23, 12.99s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 152 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 76%|██████████████████████████████████████████████▋              | 153/200 [32:41<10:40, 13.63s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [32:54<10:19, 13.46s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 154 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 78%|███████████████████████████████████████████████▎             | 155/200 [33:08<10:06, 13.48s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [33:09<07:09,  9.76s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 156 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 78%|███████████████████████████████████████████████▉             | 157/200 [33:21<07:27, 10.41s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [33:36<08:17, 11.85s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 158 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 80%|████████████████████████████████████████████████▍            | 159/200 [33:51<08:47, 12.86s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [34:09<09:35, 14.40s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 160 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 80%|█████████████████████████████████████████████████            | 161/200 [34:19<08:33, 13.16s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [34:36<08:57, 14.15s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 162 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [34:48<08:22, 13.58s/it] 82%|██████████████████████████████████████████████████           | 164/200 [34:57<07:22, 12.28s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 164 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [35:04<06:15, 10.74s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [35:24<07:35, 13.39s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 166 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [35:37<07:15, 13.19s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [35:49<06:51, 12.85s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 168 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [35:58<06:05, 11.80s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [36:00<04:21,  8.71s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 170 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [36:01<03:05,  6.39s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [36:14<03:56,  8.46s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 172 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [36:30<04:46, 10.61s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [36:39<04:24, 10.16s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 174 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [36:55<04:56, 11.86s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [37:02<04:14, 10.62s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 176 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [37:19<04:49, 12.61s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [37:37<05:06, 13.94s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 178 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [37:49<04:44, 13.57s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [38:01<04:19, 12.99s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 180 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [38:13<04:01, 12.70s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [38:26<03:51, 12.86s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 182 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [38:40<03:42, 13.10s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [39:00<04:04, 15.27s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 184 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [39:22<04:17, 17.17s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [39:31<03:27, 14.83s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 186 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [39:43<03:01, 13.98s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [39:55<02:41, 13.43s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 188 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [40:05<02:15, 12.36s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [40:25<02:26, 14.63s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 190 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [40:42<02:18, 15.35s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [41:02<02:12, 16.58s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 192 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [41:15<01:50, 15.76s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [41:36<01:42, 17.15s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 194 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [41:46<01:16, 15.21s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [41:56<00:53, 13.45s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 196 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [42:11<00:41, 13.89s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [42:20<00:24, 12.47s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 198 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [42:27<00:10, 10.86s/it]Error: 该令牌额度已用尽 (request id: 2023121810212372160967z0R5tjRe)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218102133638598628VBvu9ger)
Retrying...
Error: 该令牌额度已用尽 (request id: 202312181021441208154581uLePNoN)
Retrying...
Error: 该令牌额度已用尽 (request id: 202312181021547643894382D3wCDNY)
Retrying...
Error: 该令牌额度已用尽 (request id: 202312181522187675804850ew9bm3X)
Retrying...
100%|████████████████████████████████████████████████████████████▋| 199/200 [43:20<00:13, 13.07s/it]
Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 199 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
Process ID: [2421852] | Exit
Traceback (most recent call last):
  File "/home/chenjie/Project/fact_hallu/prompt_task_new/fact.py", line 92, in <module>
    factbot.generate_facts(
  File "/home/chenjie/Project/fact_hallu/prompt_task_new/fact.py", line 57, in generate_facts
    ans = complete_func(query, self.assist_model, **kwargs)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/chenjie/Project/fact_hallu/prompt_task_new/response.py", line 301, in openai_complete
    raise ValueError("Failed to generate response")
ValueError: Failed to generate response
