Process ID: [2421856] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421856] | Loading data from ./prompt_response/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421856] | Loading exist data from ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 14
  0%|                                                                       | 0/186 [00:00<?, ?it/s]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  1%|▎                                                              | 1/186 [00:13<40:14, 13.05s/it]  1%|▋                                                              | 2/186 [00:22<32:37, 10.64s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 50%|██████████████████████████████▋                               | 99/200 [21:02<29:01, 17.25s/it] 50%|██████████████████████████████▌                              | 100/200 [21:17<27:32, 16.52s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 100 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 50%|██████████████████████████████▊                              | 101/200 [21:27<24:20, 14.75s/it] 51%|███████████████████████████████                              | 102/200 [21:50<28:00, 17.15s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 102 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 52%|███████████████████████████████▍                             | 103/200 [21:58<23:21, 14.45s/it] 52%|███████████████████████████████▋                             | 104/200 [22:07<20:07, 12.58s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 104 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 52%|████████████████████████████████                             | 105/200 [22:23<21:59, 13.89s/it] 53%|████████████████████████████████▎                            | 106/200 [22:35<20:48, 13.28s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 106 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 54%|████████████████████████████████▋                            | 107/200 [22:48<20:25, 13.17s/it] 54%|████████████████████████████████▉                            | 108/200 [23:00<19:32, 12.74s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 108 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 55%|█████████████████████████████████▏                           | 109/200 [23:10<17:54, 11.80s/it] 55%|█████████████████████████████████▌                           | 110/200 [23:32<22:23, 14.92s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 110 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 56%|█████████████████████████████████▊                           | 111/200 [23:44<20:53, 14.08s/it] 56%|██████████████████████████████████▏                          | 112/200 [23:59<21:02, 14.34s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 112 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 56%|██████████████████████████████████▍                          | 113/200 [24:11<19:40, 13.57s/it] 57%|██████████████████████████████████▊                          | 114/200 [24:30<21:44, 15.17s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 114 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 57%|███████████████████████████████████                          | 115/200 [24:40<19:33, 13.80s/it] 58%|███████████████████████████████████▍                         | 116/200 [24:53<18:51, 13.47s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 116 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 58%|███████████████████████████████████▋                         | 117/200 [25:03<17:25, 12.60s/it] 59%|███████████████████████████████████▉                         | 118/200 [25:13<15:55, 11.66s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 118 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 60%|████████████████████████████████████▎                        | 119/200 [25:28<17:16, 12.79s/it] 60%|████████████████████████████████████▌                        | 120/200 [25:43<17:38, 13.24s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 120 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 60%|████████████████████████████████████▉                        | 121/200 [25:53<16:25, 12.48s/it] 61%|█████████████████████████████████████▏                       | 122/200 [26:03<15:02, 11.57s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 122 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 62%|█████████████████████████████████████▌                       | 123/200 [26:16<15:31, 12.10s/it] 62%|█████████████████████████████████████▊                       | 124/200 [26:29<15:35, 12.31s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 124 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 62%|██████████████████████████████████████▏                      | 125/200 [26:56<20:52, 16.69s/it] 63%|██████████████████████████████████████▍                      | 126/200 [27:10<19:32, 15.84s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 126 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 64%|██████████████████████████████████████▋                      | 127/200 [27:26<19:17, 15.85s/it] 64%|███████████████████████████████████████                      | 128/200 [27:35<16:40, 13.90s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 128 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 64%|███████████████████████████████████████▎                     | 129/200 [27:47<15:41, 13.26s/it] 65%|███████████████████████████████████████▋                     | 130/200 [28:01<15:43, 13.48s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 130 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 66%|███████████████████████████████████████▉                     | 131/200 [28:14<15:36, 13.57s/it] 66%|████████████████████████████████████████▎                    | 132/200 [28:29<15:36, 13.77s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 132 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 66%|████████████████████████████████████████▌                    | 133/200 [28:44<15:55, 14.26s/it] 67%|████████████████████████████████████████▊                    | 134/200 [28:54<14:11, 12.90s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 134 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 68%|█████████████████████████████████████████▏                   | 135/200 [29:01<12:15, 11.31s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [29:19<14:13, 13.34s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 136 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 68%|█████████████████████████████████████████▊                   | 137/200 [29:32<13:35, 12.95s/it] 69%|██████████████████████████████████████████                   | 138/200 [29:46<13:44, 13.29s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 138 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 70%|██████████████████████████████████████████▍                  | 139/200 [30:02<14:35, 14.35s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [30:19<15:01, 15.03s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 140 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 70%|███████████████████████████████████████████                  | 141/200 [30:34<14:50, 15.09s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [30:50<14:48, 15.32s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 142 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 72%|███████████████████████████████████████████▌                 | 143/200 [31:01<13:15, 13.95s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [31:17<13:33, 14.53s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 144 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 72%|████████████████████████████████████████████▏                | 145/200 [31:31<13:17, 14.50s/it] 73%|████████████████████████████████████████████▌                | 146/200 [31:47<13:24, 14.90s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 146 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 74%|████████████████████████████████████████████▊                | 147/200 [32:01<13:02, 14.76s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [32:13<11:50, 13.67s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 148 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 74%|█████████████████████████████████████████████▍               | 149/200 [32:32<13:04, 15.38s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [32:41<11:17, 13.55s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 150 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 76%|██████████████████████████████████████████████               | 151/200 [32:49<09:33, 11.71s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [33:09<11:20, 14.18s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 152 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 76%|██████████████████████████████████████████████▋              | 153/200 [33:17<09:41, 12.38s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [33:34<10:33, 13.78s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 154 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 78%|███████████████████████████████████████████████▎             | 155/200 [33:44<09:34, 12.78s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [33:59<09:43, 13.27s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 156 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 78%|███████████████████████████████████████████████▉             | 157/200 [34:16<10:18, 14.39s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [34:23<08:37, 12.31s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 158 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 80%|████████████████████████████████████████████████▍            | 159/200 [34:37<08:49, 12.91s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [34:49<08:14, 12.35s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 160 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 80%|█████████████████████████████████████████████████            | 161/200 [34:58<07:26, 11.45s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [35:13<07:52, 12.43s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 162 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [35:22<07:11, 11.66s/it] 82%|██████████████████████████████████████████████████           | 164/200 [35:50<09:49, 16.36s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 164 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [36:03<09:04, 15.57s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [36:10<07:18, 12.89s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 166 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [36:26<07:38, 13.91s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [36:40<07:24, 13.90s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 168 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [36:49<06:24, 12.42s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [37:10<07:31, 15.04s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 170 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [37:19<06:17, 13.01s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [37:36<06:43, 14.40s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 172 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [37:47<05:56, 13.21s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [38:07<06:35, 15.21s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 174 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
Error: HTTP code 502 from API (<html>
<head><title>502 Bad Gateway</title></head>
<body>
<center><h1>502 Bad Gateway</h1></center>
<hr><center>cloudflare</center>
</body>
</html>
)
Retrying...
 88%|█████████████████████████████████████████████████████▍       | 175/200 [38:37<08:10, 19.63s/it]Error: HTTP code 502 from API (<html>
<head><title>502 Bad Gateway</title></head>
<body>
<center><h1>502 Bad Gateway</h1></center>
<hr><center>cloudflare</center>
</body>
</html>
)
Retrying...
 88%|█████████████████████████████████████████████████████▋       | 176/200 [39:02<08:34, 21.43s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 176 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [39:19<07:43, 20.13s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [39:36<07:03, 19.23s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 178 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [39:49<05:59, 17.11s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [39:58<04:54, 14.71s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 180 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [40:12<04:38, 14.64s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [40:35<05:08, 17.12s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 182 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [40:43<04:05, 14.42s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [40:52<03:21, 12.61s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 184 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [41:04<03:07, 12.47s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [41:15<02:48, 12.03s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 186 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [41:29<02:44, 12.66s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [41:40<02:24, 12.07s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 188 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [42:07<03:02, 16.57s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [42:22<02:40, 16.08s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 190 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [42:42<02:35, 17.32s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [42:53<02:04, 15.54s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 192 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [43:05<01:40, 14.35s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [43:22<01:31, 15.33s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 194 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [43:38<01:17, 15.43s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [43:55<01:03, 15.97s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 196 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [44:06<00:42, 14.32s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [44:23<00:30, 15.22s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 198 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [44:38<00:15, 15.13s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [44:55<00:00, 15.59s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [44:55<00:00, 13.48s/it]
Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 200 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
Process ID: [2421856] | Exit
Process ID: [2421856] | Loading data from ./prompt_response/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 0 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
  0%|▎                                                              | 1/200 [00:11<37:18, 11.25s/it]  1%|▋                                                              | 2/200 [00:17<27:37,  8.37s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 2 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
  2%|▉                                                              | 3/200 [00:30<34:59, 10.66s/it]  2%|█▎                                                             | 4/200 [00:40<32:43, 10.02s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 4 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
  2%|█▌                                                             | 5/200 [00:49<31:36,  9.73s/it]  3%|█▉                                                             | 6/200 [01:00<33:39, 10.41s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 6 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
  4%|██▏                                                            | 7/200 [01:15<38:09, 11.86s/it]  4%|██▌                                                            | 8/200 [01:30<40:47, 12.75s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 8 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
  4%|██▊                                                            | 9/200 [01:37<34:30, 10.84s/it]  5%|███                                                           | 10/200 [01:42<28:48,  9.10s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 10 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
  6%|███▍                                                          | 11/200 [01:52<29:49,  9.47s/it]  6%|███▋                                                          | 12/200 [02:05<32:36, 10.40s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 12 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
  6%|████                                                          | 13/200 [02:13<30:46,  9.87s/it]  7%|████▎                                                         | 14/200 [02:22<29:40,  9.57s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 14 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
  8%|████▋                                                         | 15/200 [02:29<27:00,  8.76s/it]  8%|████▉                                                         | 16/200 [02:37<26:13,  8.55s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 16 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
  8%|█████▎                                                        | 17/200 [02:38<19:24,  6.36s/it]  9%|█████▌                                                        | 18/200 [02:39<14:21,  4.74s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 18 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
 10%|█████▉                                                        | 19/200 [02:42<12:50,  4.25s/it] 10%|██████▏                                                       | 20/200 [02:45<10:58,  3.66s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 20 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
 10%|██████▌                                                       | 21/200 [02:46<09:01,  3.02s/it] 11%|██████▊                                                       | 22/200 [02:50<10:01,  3.38s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 22 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
 12%|███████▏                                                      | 23/200 [02:51<07:46,  2.64s/it] 12%|███████▍                                                      | 24/200 [02:53<07:13,  2.46s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 24 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
 12%|███████▊                                                      | 25/200 [02:55<05:58,  2.05s/it] 13%|████████                                                      | 26/200 [03:01<09:39,  3.33s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 26 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
 14%|████████▎                                                     | 27/200 [03:06<10:58,  3.80s/it] 14%|████████▋                                                     | 28/200 [03:07<08:24,  2.93s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 28 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
 14%|████████▉                                                     | 29/200 [03:08<06:57,  2.44s/it] 15%|█████████▎                                                    | 30/200 [03:09<05:54,  2.09s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 30 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
 16%|█████████▌                                                    | 31/200 [03:27<18:48,  6.68s/it] 16%|█████████▉                                                    | 32/200 [03:33<18:35,  6.64s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 32 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
 16%|██████████▏                                                   | 33/200 [03:54<30:08, 10.83s/it] 17%|██████████▌                                                   | 34/200 [04:05<30:06, 10.88s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 34 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
Error: 该令牌额度已用尽 (request id: 20231218152139555181526qi6jExcu)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218152145448690566DrdvOq9T)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218152156313216984uRuJqydb)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218152211307124450NZ8YEwjk)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218102204375714099zsUuGQef)
Retrying...
 17%|██████████▌                                                   | 34/200 [04:58<24:15,  8.77s/it]
Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Education | Saving 34 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Education.json
Process ID: [2421856] | Exit
Traceback (most recent call last):
  File "/home/chenjie/Project/fact_hallu/prompt_task_new/fact.py", line 92, in <module>
    factbot.generate_facts(
  File "/home/chenjie/Project/fact_hallu/prompt_task_new/fact.py", line 57, in generate_facts
    ans = complete_func(query, self.assist_model, **kwargs)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/chenjie/Project/fact_hallu/prompt_task_new/response.py", line 301, in openai_complete
    raise ValueError("Failed to generate response")
ValueError: Failed to generate response
