Process ID: [2342247] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./ir_response_pure/response-10/llama-2-7b-chat-hf
    save_dir: ./fact/response-10/llama-2-7b-chat-hf
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2342247] | Loading data from ./ir_response_pure/response-10/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:10<34:20, 10.35s/it]  1%|▋                                                              | 2/200 [00:17<27:20,  8.28s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 62%|██████████████████████████████████████▏                      | 125/200 [17:08<13:19, 10.67s/it] 63%|██████████████████████████████████████▍                      | 126/200 [17:16<12:01,  9.75s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 126 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 64%|██████████████████████████████████████▋                      | 127/200 [17:25<11:44,  9.65s/it] 64%|███████████████████████████████████████                      | 128/200 [17:31<10:04,  8.39s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 128 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 64%|███████████████████████████████████████▎                     | 129/200 [17:41<10:25,  8.81s/it] 65%|███████████████████████████████████████▋                     | 130/200 [17:48<09:53,  8.47s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 130 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 66%|███████████████████████████████████████▉                     | 131/200 [17:58<10:15,  8.92s/it] 66%|████████████████████████████████████████▎                    | 132/200 [18:06<09:47,  8.63s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 132 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 66%|████████████████████████████████████████▌                    | 133/200 [18:16<09:54,  8.88s/it] 67%|████████████████████████████████████████▊                    | 134/200 [18:29<11:06, 10.10s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 134 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 68%|█████████████████████████████████████████▏                   | 135/200 [18:38<10:47,  9.97s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [18:46<09:51,  9.24s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 136 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 68%|█████████████████████████████████████████▊                   | 137/200 [18:55<09:43,  9.25s/it] 69%|██████████████████████████████████████████                   | 138/200 [19:03<09:04,  8.78s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 138 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 70%|██████████████████████████████████████████▍                  | 139/200 [19:13<09:24,  9.25s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [19:14<06:43,  6.73s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 140 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 70%|███████████████████████████████████████████                  | 141/200 [19:32<09:48,  9.98s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [19:40<09:08,  9.46s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 142 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 72%|███████████████████████████████████████████▌                 | 143/200 [19:48<08:40,  9.12s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [19:57<08:19,  8.92s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 144 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 72%|████████████████████████████████████████████▏                | 145/200 [20:12<09:57, 10.87s/it] 73%|████████████████████████████████████████████▌                | 146/200 [20:21<09:23, 10.43s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 146 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 74%|████████████████████████████████████████████▊                | 147/200 [20:28<08:13,  9.32s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [20:39<08:21,  9.65s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 148 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 74%|█████████████████████████████████████████████▍               | 149/200 [20:48<08:15,  9.72s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [20:55<07:23,  8.87s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 150 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 76%|██████████████████████████████████████████████               | 151/200 [21:06<07:36,  9.32s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [21:20<08:33, 10.70s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 152 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 76%|██████████████████████████████████████████████▋              | 153/200 [21:34<09:15, 11.82s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [21:48<09:28, 12.36s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 154 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 78%|███████████████████████████████████████████████▎             | 155/200 [21:53<07:41, 10.25s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [22:01<07:02,  9.60s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 156 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 78%|███████████████████████████████████████████████▉             | 157/200 [22:07<06:04,  8.48s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [22:20<06:54,  9.86s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 158 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 80%|████████████████████████████████████████████████▍            | 159/200 [22:26<05:51,  8.57s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [22:38<06:27,  9.69s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 160 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 80%|█████████████████████████████████████████████████            | 161/200 [22:45<05:51,  9.02s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [22:51<05:07,  8.08s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 162 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [22:57<04:37,  7.50s/it] 82%|██████████████████████████████████████████████████           | 164/200 [23:04<04:19,  7.20s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 164 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [23:13<04:32,  7.79s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [23:18<03:57,  6.97s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 166 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [23:28<04:15,  7.73s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [23:29<03:03,  5.75s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 168 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [23:36<03:11,  6.19s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [23:42<03:07,  6.24s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 170 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [23:50<03:11,  6.61s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [24:00<03:30,  7.54s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 172 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [24:16<04:36, 10.26s/it]Error: 该令牌额度已用尽 (request id: 20231218044557712634395dg6NcvT7)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218044607997489462BljZZqaB)
Retrying...
Error: 该令牌额度已用尽 (request id: 202312172346011145497319PtIFqeV)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231217234611391640041uDPLdiQ2)
Retrying...
Error: 该令牌额度已用尽 (request id: 2023121804463952906801UFiHrdfb)
Retrying...
 86%|████████████████████████████████████████████████████▊        | 173/200 [25:08<03:55,  8.72s/it]
Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 173 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
Process ID: [2342247] | Exit
Traceback (most recent call last):
  File "/home/chenjie/Project/fact_hallu/ir/fact.py", line 92, in <module>
    factbot.generate_facts(
  File "/home/chenjie/Project/fact_hallu/ir/fact.py", line 57, in generate_facts
    ans = complete_func(query, self.assist_model, **kwargs)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/chenjie/Project/fact_hallu/ir/response.py", line 301, in openai_complete
    raise ValueError("Failed to generate response")
ValueError: Failed to generate response
Process ID: [2362194] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./ir_response_pure/response-10/llama-2-7b-chat-hf
    save_dir: ./fact/response-10/llama-2-7b-chat-hf
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2362194] | Loading data from ./ir_response_pure/response-10/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2362194] | Loading exist data from ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2362194] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 200 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
Process ID: [2362194] | Exit
Process ID: [2362194] | Loading data from ./ir_response_pure/response-10/llama-2-7b-chat-hf/Finance.json | Total 200
Process ID: [2362194] | Loading exist data from ./fact/response-10/llama-2-7b-chat-hf/Finance.json | Total 200
Process ID: [2362194] | Model: llama-2-7b-chat-hf | File: Finance | Saving 200 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
Process ID: [2362194] | Exit
Process ID: [2362194] | Loading data from ./ir_response_pure/response-10/llama-2-7b-chat-hf/Science.json | Total 200
Process ID: [2362194] | Loading exist data from ./fact/response-10/llama-2-7b-chat-hf/Science.json | Total 173
  0%|                                                                        | 0/27 [00:00<?, ?it/s]  4%|██▎                                                             | 1/27 [00:09<04:10,  9.63s/it]Process ID: [2362194] | Model: llama-2-7b-chat-hf | File: Science | Saving 174 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
  7%|████▋                                                           | 2/27 [00:29<06:31, 15.66s/it] 11%|███████                                                         | 3/27 [00:45<06:23, 15.97s/it]Process ID: [2362194] | Model: llama-2-7b-chat-hf | File: Science | Saving 176 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 15%|█████████▍                                                      | 4/27 [00:57<05:27, 14.23s/it] 19%|███████████▊                                                    | 5/27 [01:17<05:59, 16.35s/it]Process ID: [2362194] | Model: llama-2-7b-chat-hf | File: Science | Saving 178 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 22%|██████████████▏                                                 | 6/27 [01:29<05:12, 14.87s/it]
